Subject ID: sub01_3 , Experiment Time: 2020-11-24T15:48:40
Trial,Condition,Stage,TargetPos,CarSpeed,LandmarkPos1,StartPos,StartTime,LandmarkPos2,StopPos,AbsoluteErrorDis,RelativeErrorDis,EndTime,Insinght
1,0,Interval,0,0,0,0,15:48:56:923,0,0,0,0,15:48:59:562,None
1,0,Encode,0,0,0,0,15:48:59:564,0,0,0,0,15:49:4:595,None
1,0,Navigate,39.03806,8,0,2.5,15:49:4:599,0,55.45995,18.74104,-16.42189,15:49:11:182,Miss
1,0,Correction,0,0,0,0,15:49:11:182,0,0,0,0,15:49:15:178,0
2,1,Interval,0,0,0,0,15:49:15:210,0,0,0,0,15:49:18:209,None
2,1,Encode,0,0,0,0,15:49:18:212,0,0,0,0,15:49:23:229,None
2,1,Navigate,33.03676,8,80,2.5,15:49:23:229,80,29.53998,9.68386,3.49678,15:49:26:597,Hit
2,1,Correction,0,0,0,0,15:49:26:597,0,0,0,0,15:49:30:596,1
3,2,Interval,0,0,0,0,15:49:30:627,0,0,0,0,15:49:33:642,None
3,2,Encode,0,0,0,0,15:49:33:646,0,0,0,0,15:49:38:661,None
3,2,Navigate,42.03686,10,80,2.5,15:49:38:661,97,51.70012,13.22602,-9.663261,15:49:43:563,Hit
3,2,Correction,0,0,0,0,15:49:43:563,0,0,0,0,15:49:47:561,2
4,1,Interval,0,0,0,0,15:49:47:593,0,0,0,0,15:49:50:625,None
4,1,Encode,0,0,0,0,15:49:50:628,0,0,0,0,15:49:55:645,None
4,1,Navigate,45.0347,6,80,2.5,15:49:55:645,80,61.41984,18.70892,-16.38514,15:50:5:446,Miss
4,1,Correction,0,0,0,0,15:50:5:446,0,0,0,0,15:50:9:442,2
5,0,Interval,0,0,0,0,15:50:9:476,0,0,0,0,15:50:12:476,None
5,0,Encode,0,0,0,0,15:50:12:479,0,0,0,0,15:50:17:494,None
5,0,Navigate,43.03654,10,0,2.5,15:50:17:495,0,63.90017,22.73413,-20.86363,15:50:23:611,Miss
5,0,Correction,0,0,0,0,15:50:23:612,0,0,0,0,15:50:27:609,2
6,1,Interval,0,0,0,0,15:50:27:643,0,0,0,0,15:50:30:643,None
6,1,Encode,0,0,0,0,15:50:30:646,0,0,0,0,15:50:35:658,None
6,1,Navigate,64.03639,4,80,2.5,15:50:35:658,80,60.34062,9.757482,3.69577,15:50:50:95,Hit
6,1,Correction,0,0,0,0,15:50:50:95,0,0,0,0,15:50:54:94,3
7,1,Interval,0,0,0,0,15:50:54:126,0,0,0,0,15:50:57:125,None
7,1,Encode,0,0,0,0,15:50:57:128,0,0,0,0,15:51:2:144,None
7,1,Navigate,31.03681,6,80,2.5,15:51:2:144,80,25.78006,10.44906,5.25675,15:51:6:12,Hit
7,1,Correction,0,0,0,0,15:51:6:12,0,0,0,0,15:51:10:10,4
8,2,Interval,0,0,0,0,15:51:10:41,0,0,0,0,15:51:13:42,None
8,2,Encode,0,0,0,0,15:51:13:45,0,0,0,0,15:51:18:60,None
8,2,Navigate,51.03682,9,80,2.5,15:51:18:60,102,54.16007,9.555284,-3.123249,15:51:23:794,Hit
8,2,Correction,0,0,0,0,15:51:23:794,0,0,0,0,15:51:27:794,5
9,0,Interval,0,0,0,0,15:51:27:824,0,0,0,0,15:51:30:826,None
9,0,Encode,0,0,0,0,15:51:30:829,0,0,0,0,15:51:35:827,None
9,0,Navigate,79.03456,3,0,2.5,15:51:35:828,0,62.3206,18.99757,16.71396,15:51:55:764,Miss
9,0,Correction,0,0,0,0,15:51:55:764,0,0,0,0,15:51:59:724,5
10,1,Interval,0,0,0,0,15:51:59:758,0,0,0,0,15:52:2:773,None
10,1,Encode,0,0,0,0,15:52:2:777,0,0,0,0,15:52:7:793,None
