Subject ID: sub06_1 , Experiment Time: 2020-12-17T13:12:32
Trial,Condition,Stage,TargetPos,CarSpeed,LandmarkPos1,StartPos,StartTime,LandmarkPos2,StopPos,AbsoluteErrorDis,RelativeErrorDis,EndTime,Insinght
1,2,Interval,0,0,0,0,13:12:45:575,0,0,0,0,13:12:48:232,None
1,2,Encode,0,0,0,0,13:12:48:234,0,0,0,0,13:12:53:279,None
1,2,Navigate,40.04057,3,80,2.5,13:12:53:281,69,23.43998,18.89775,16.60059,13:13:0:227,Miss
1,2,Correction,0,0,0,0,13:13:0:228,0,0,0,0,13:13:4:222,0
2,1,Interval,0,0,0,0,13:13:4:254,0,0,0,0,13:13:7:269,None
2,1,Encode,0,0,0,0,13:13:7:272,0,0,0,0,13:13:12:272,None
2,1,Navigate,61.03288,6,80,2.5,13:13:12:272,80,51.57993,13.07328,9.452953,13:13:20:440,Hit
2,1,Correction,0,0,0,0,13:13:20:440,0,0,0,0,13:13:24:439,1
3,0,Interval,0,0,0,0,13:13:24:470,0,0,0,0,13:13:27:502,None
3,0,Encode,0,0,0,0,13:13:27:505,0,0,0,0,13:13:32:538,None
3,0,Navigate,31.03674,5,0,2.5,13:13:32:538,0,28.70007,9.327883,2.336666,13:13:37:739,Hit
3,0,Correction,0,0,0,0,13:13:37:739,0,0,0,0,13:13:41:705,2
4,1,Interval,0,0,0,0,13:13:41:736,0,0,0,0,13:13:44:768,None
4,1,Encode,0,0,0,0,13:13:44:771,0,0,0,0,13:13:49:804,None
4,1,Navigate,57.03684,9,80,2.5,13:13:49:804,80,52.36007,10.16965,4.676773,13:13:55:306,Hit
4,1,Correction,0,0,0,0,13:13:55:306,0,0,0,0,13:13:59:305,3
5,0,Interval,0,0,0,0,13:13:59:336,0,0,0,0,13:14:2:368,None
5,0,Encode,0,0,0,0,13:14:2:371,0,0,0,0,13:14:7:403,None
5,0,Navigate,49.03671,11,0,2.5,13:14:7:403,0,68.06015,21.05803,-19.02345,13:14:13:338,Miss
5,0,Correction,0,0,0,0,13:14:13:338,0,0,0,0,13:14:17:336,3
6,1,Interval,0,0,0,0,13:14:17:369,0,0,0,0,13:14:20:401,None
6,1,Encode,0,0,0,0,13:14:20:404,0,0,0,0,13:14:25:420,None
6,1,Navigate,43.03481,5,80,2.5,13:14:25:420,80,34.50005,12.42549,8.53476,13:14:31:788,Hit
6,1,Correction,0,0,0,0,13:14:31:788,0,0,0,0,13:14:35:787,4
7,1,Interval,0,0,0,0,13:14:35:819,0,0,0,0,13:14:38:850,None
7,1,Encode,0,0,0,0,13:14:38:854,0,0,0,0,13:14:43:870,None
7,1,Navigate,51.03485,10,80,2.5,13:14:43:870,80,49.30011,9.195677,1.734734,13:14:48:538,Hit
7,1,Correction,0,0,0,0,13:14:48:538,0,0,0,0,13:14:52:504,5
8,2,Interval,0,0,0,0,13:14:52:535,0,0,0,0,13:14:55:551,None
8,2,Encode,0,0,0,0,13:14:55:554,0,0,0,0,13:15:0:570,None
8,2,Navigate,54.03682,5,80,2.5,13:15:0:570,70,42.59992,14.5723,11.4369,13:15:8:572,Miss
8,2,Correction,0,0,0,0,13:15:8:572,0,0,0,0,13:15:12:569,5
9,0,Interval,0,0,0,0,13:15:12:601,0,0,0,0,13:15:15:633,None
9,0,Encode,0,0,0,0,13:15:15:636,0,0,0,0,13:15:20:668,None
9,0,Navigate,39.03679,11,0,2.5,13:15:20:668,0,46.50003,11.71533,-7.463242,13:15:24:637,Hit
9,0,Correction,0,0,0,0,13:15:24:637,0,0,0,0,13:15:28:603,6
10,0,Interval,0,0,0,0,13:15:28:634,0,0,0,0,13:15:31:666,None
10,0,Encode,0,0,0,0,13:15:31:670,0,0,0,0,13:15:36:702,None
10,0,Navigate,30.03677,6,0,2.5,13:15:36:702,0,33.70008,9.745209,-3.663319,13:15:41:870,Hit
10,0,Correction,0,0,0,0,13:15:41:870,0,0,0,0,13:15:45:869,7
11,0,Interval,0,0,0,0,13:15:45:901,0,0,0,0,13:15:48:933,None
11,0,Encode,0,0,0,0,13:15:48:936,0,0,0,0,13:15:53:968,None
11,0,Navigate,46.03674,11,0,2.5,13:15:53:968,0,89.18027,44.07849,-43.14352,13:16:1:803,Miss
11,0,Correction,0,0,0,0,13:16:1:803,0,0,0,0,13:16:5:800,7
12,2,Interval,0,0,0,0,13:16:5:833,0,0,0,0,13:16:8:833,None
12,2,Encode,0,0,0,0,13:16:8:836,0,0,0,0,13:16:13:852,None
