Subject ID: sub09_2 , Experiment Time: 2020-12-18T15:30:15
Trial,Condition,Stage,TargetPos,CarSpeed,LandmarkPos1,StartPos,StartTime,LandmarkPos2,StopPos,AbsoluteErrorDis,RelativeErrorDis,EndTime,Insinght
1,0,Interval,0,0,0,0,15:30:43:678,0,0,0,0,15:30:46:319,None
1,0,Encode,0,0,0,0,15:30:46:321,0,0,0,0,15:30:51:337,None
1,0,Navigate,61.04023,5,0,2.5,15:30:51:339,0,43.69991,19.55077,17.34033,15:30:59:554,Miss
1,0,Correction,0,0,0,0,15:30:59:555,0,0,0,0,15:31:3:551,0
2,0,Interval,0,0,0,0,15:31:3:583,0,0,0,0,15:31:6:615,None
2,0,Encode,0,0,0,0,15:31:6:619,0,0,0,0,15:31:11:651,None
2,0,Navigate,31.03676,10,0,2.5,15:31:11:651,0,28.70004,9.327868,2.336723,15:31:14:252,Hit
2,0,Correction,0,0,0,0,15:31:14:252,0,0,0,0,15:31:18:218,1
3,1,Interval,0,0,0,0,15:31:18:250,0,0,0,0,15:31:21:282,None
3,1,Encode,0,0,0,0,15:31:21:285,0,0,0,0,15:31:26:300,None
3,1,Navigate,46.03478,3,80,2.5,15:31:26:301,80,26.37996,21.63015,19.65482,15:31:34:235,Miss
3,1,Correction,0,0,0,0,15:31:34:235,0,0,0,0,15:31:38:233,1
4,1,Interval,0,0,0,0,15:31:38:266,0,0,0,0,15:31:41:298,None
4,1,Encode,0,0,0,0,15:31:41:301,0,0,0,0,15:31:46:317,None
4,1,Navigate,73.03479,6,80,2.5,15:31:46:317,80,69.81995,9.585718,3.214844,15:31:57:519,Hit
4,1,Correction,0,0,0,0,15:31:57:519,0,0,0,0,15:32:1:518,2
5,0,Interval,0,0,0,0,15:32:1:549,0,0,0,0,15:32:4:549,None
5,0,Encode,0,0,0,0,15:32:4:552,0,0,0,0,15:32:9:567,None
5,0,Navigate,31.03676,8,0,2.5,15:32:9:567,0,25.85998,10.40907,5.176783,15:32:12:469,Hit
5,0,Correction,0,0,0,0,15:32:12:469,0,0,0,0,15:32:16:435,3
6,2,Interval,0,0,0,0,15:32:16:466,0,0,0,0,15:32:19:482,None
6,2,Encode,0,0,0,0,15:32:19:485,0,0,0,0,15:32:24:500,None
6,2,Navigate,64.03676,5,80,2.5,15:32:24:500,78,45.39988,20.70949,18.63688,15:32:33:68,Miss
6,2,Correction,0,0,0,0,15:32:33:68,0,0,0,0,15:32:37:65,3
7,2,Interval,0,0,0,0,15:32:37:98,0,0,0,0,15:32:40:114,None
7,2,Encode,0,0,0,0,15:32:40:118,0,0,0,0,15:32:45:117,None
7,2,Navigate,34.03487,3,80,2.5,15:32:45:117,72,17.08004,19.20983,16.95483,15:32:49:968,Miss
7,2,Correction,0,0,0,0,15:32:49:968,0,0,0,0,15:32:53:965,3
8,1,Interval,0,0,0,0,15:32:53:998,0,0,0,0,15:32:57:30,None
8,1,Encode,0,0,0,0,15:32:57:34,0,0,0,0,15:33:2:66,None
8,1,Navigate,40.03685,6,80,2.5,15:33:2:66,80,30.94009,12.81795,9.096754,15:33:6:767,Hit
8,1,Correction,0,0,0,0,15:33:6:767,0,0,0,0,15:33:10:766,4
9,0,Interval,0,0,0,0,15:33:10:798,0,0,0,0,15:33:13:830,None
9,0,Encode,0,0,0,0,15:33:13:833,0,0,0,0,15:33:18:865,None
9,0,Navigate,57.03673,8,0,2.5,15:33:18:865,0,62.17995,10.39239,-5.143219,15:33:26:300,Hit
9,0,Correction,0,0,0,0,15:33:26:300,0,0,0,0,15:33:30:266,5
10,1,Interval,0,0,0,0,15:33:30:297,0,0,0,0,15:33:33:329,None
10,1,Encode,0,0,0,0,15:33:33:333,0,0,0,0,15:33:38:349,None
10,1,Navigate,66.03484,10,80,2.5,15:33:38:349,80,65.90014,9.031581,0.134697,15:33:44:651,Hit
10,1,Correction,0,0,0,0,15:33:44:651,0,0,0,0,15:33:48:617,6
11,2,Interval,0,0,0,0,15:33:48:647,0,0,0,0,15:33:51:679,None
11,2,Encode,0,0,0,0,15:33:51:682,0,0,0,0,15:33:56:699,None
11,2,Navigate,51.03476,6,80,2.5,15:33:56:699,66,39.94003,14.30539,11.09473,15:34:2:934,Miss
11,2,Correction,0,0,0,0,15:34:2:934,0,0,0,0,15:34:6:932,6
12,0,Interval,0,0,0,0,15:34:6:964,0,0,0,0,15:34:9:996,None
12,0,Encode,0,0,0,0,15:34:9:999,0,0,0,0,15:34:15:31,None
12,0,Navigate,79.03674,11,0,2.5,15:34:15:32,0,100.1803,22.99132,-21.14359,15:34:23:866,Miss
12,0,Correction,0,0,0,0,15:34:23:866,0,0,0,0,15:34:27:864,6
13,1,Interval,0,0,0,0,15:34:27:896,0,0,0,0,15:34:30:928,None
13,1,Encode,0,0,0,0,15:34:30:931,0,0,0,0,15:34:35:948,None
13,1,Navigate,49.0348,4,80,2.5,15:34:35:948,80,36.26007,15.64433,12.77473,15:34:44:382,Miss
13,1,Correction,0,0,0,0,15:34:44:382,0,0,0,0,15:34:48:380,6
14,1,Interval,0,0,0,0,15:34:48:412,0,0,0,0,15:34:51:444,None
14,1,Encode,0,0,0,0,15:34:51:448,0,0,0,0,15:34:56:464,None
14,1,Navigate,44.0349,6,80,2.5,15:34:56:464,80,37.30005,11.26538,6.734844,15:35:2:234,Hit
14,1,Correction,0,0,0,0,15:35:2:234,0,0,0,0,15:35:6:231,7
15,0,Interval,0,0,0,0,15:35:6:263,0,0,0,0,15:35:9:294,None
15,0,Encode,0,0,0,0,15:35:9:297,0,0,0,0,15:35:14:330,None
15,0,Navigate,54.03679,3,0,2.5,15:35:14:331,0,29.67993,25.97703,24.35686,15:35:23:365,Miss
15,0,Correction,0,0,0,0,15:35:23:365,0,0,0,0,15:35:27:362,7
16,2,Interval,0,0,0,0,15:35:27:395,0,0,0,0,15:35:30:428,None
16,2,Encode,0,0,0,0,15:35:30:431,0,0,0,0,15:35:35:447,None
16,2,Navigate,42.03488,8,80,2.5,15:35:35:447,43,36.09997,10.80621,5.934906,15:35:39:615,Hit
16,2,Correction,0,0,0,0,15:35:39:615,0,0,0,0,15:35:43:614,8
17,1,Interval,0,0,0,0,15:35:43:645,0,0,0,0,15:35:46:677,None
17,1,Encode,0,0,0,0,15:35:46:681,0,0,0,0,15:35:51:713,None
17,1,Navigate,33.03691,11,80,2.5,15:35:51:713,80,35.93998,9.485608,-2.903065,15:35:54:715,Hit
17,1,Correction,0,0,0,0,15:35:54:715,0,0,0,0,15:35:58:680,9
18,0,Interval,0,0,0,0,15:35:58:712,0,0,0,0,15:36:1:743,None
18,0,Encode,0,0,0,0,15:36:1:746,0,0,0,0,15:36:6:780,None
18,0,Navigate,30.03675,10,0,2.5,15:36:6:780,0,33.50005,9.671813,-3.463301,15:36:9:847,Hit
18,0,Correction,0,0,0,0,15:36:9:847,0,0,0,0,15:36:13:813,10
19,2,Interval,0,0,0,0,15:36:13:844,0,0,0,0,15:36:16:877,None
19,2,Encode,0,0,0,0,15:36:16:880,0,0,0,0,15:36:21:896,None
19,2,Navigate,39.0349,11,80,2.5,15:36:21:896,66,46.72004,11.858,-7.685139,15:36:25:897,Hit
19,2,Correction,0,0,0,0,15:36:25:897,0,0,0,0,15:36:29:896,11
20,0,Interval,0,0,0,0,15:36:29:928,0,0,0,0,15:36:32:959,None
20,0,Encode,0,0,0,0,15:36:32:963,0,0,0,0,15:36:37:996,None
20,0,Navigate,48.03678,9,0,2.5,15:36:37:996,0,40.30005,11.89143,7.736732,15:36:42:163,Hit
20,0,Correction,0,0,0,0,15:36:42:163,0,0,0,0,15:36:46:163,12
21,2,Interval,0,0,0,0,15:36:46:194,0,0,0,0,15:36:49:226,None
21,2,Encode,0,0,0,0,15:36:49:229,0,0,0,0,15:36:54:245,None
21,2,Navigate,74.03486,5,80,2.5,15:36:54:245,46,51.89978,23.90633,22.13508,15:37:4:114,Miss
21,2,Correction,0,0,0,0,15:37:4:114,0,0,0,0,15:37:8:111,12
22,1,Interval,0,0,0,0,15:37:8:144,0,0,0,0,15:37:11:176,None
22,1,Encode,0,0,0,0,15:37:11:179,0,0,0,0,15:37:16:195,None
22,1,Navigate,37.03491,10,80,2.5,15:37:16:195,80,31.10005,10.80619,5.934866,15:37:19:30,Hit
22,1,Correction,0,0,0,0,15:37:19:30,0,0,0,0,15:37:23:29,13
23,0,Interval,0,0,0,0,15:37:23:60,0,0,0,0,15:37:26:92,None
23,0,Encode,0,0,0,0,15:37:26:95,0,0,0,0,15:37:31:127,None
23,0,Navigate,70.0368,11,0,2.5,15:37:31:127,0,80.38022,13.73081,-10.34342,15:37:38:162,Miss
23,0,Correction,0,0,0,0,15:37:38:162,0,0,0,0,15:37:42:162,13
24,1,Interval,0,0,0,0,15:37:42:193,0,0,0,0,15:37:45:225,None
24,1,Encode,0,0,0,0,15:37:45:228,0,0,0,0,15:37:50:244,None
24,1,Navigate,51.0348,3,80,2.5,15:37:50:245,80,24.03998,28.46527,26.99482,15:37:57:412,Miss
24,1,Correction,0,0,0,0,15:37:57:412,0,0,0,0,15:38:1:409,13
25,0,Interval,0,0,0,0,15:38:1:443,0,0,0,0,15:38:4:474,None
25,0,Encode,0,0,0,0,15:38:4:478,0,0,0,0,15:38:9:509,None
25,0,Navigate,77.03682,8,0,2.5,15:38:9:510,0,57.21995,21.77745,19.81687,15:38:16:312,Miss
25,0,Correction,0,0,0,0,15:38:16:312,0,0,0,0,15:38:20:309,13
26,2,Interval,0,0,0,0,15:38:20:342,0,0,0,0,15:38:23:373,None
26,2,Encode,0,0,0,0,15:38:23:377,0,0,0,0,15:38:28:394,None
26,2,Navigate,43.03489,8,80,2.5,15:38:28:394,88,33.37997,13.22,9.654919,15:38:32:229,Hit
26,2,Correction,0,0,0,0,15:38:32:229,0,0,0,0,15:38:36:227,14
27,2,Interval,0,0,0,0,15:38:36:258,0,0,0,0,15:38:39:258,None
27,2,Encode,0,0,0,0,15:38:39:261,0,0,0,0,15:38:44:294,None
27,2,Navigate,45.03856,3,80,2.5,15:38:44:294,53,29.97993,17.55877,15.05863,15:38:53:428,Miss
27,2,Correction,0,0,0,0,15:38:53:428,0,0,0,0,15:38:57:425,14
28,1,Interval,0,0,0,0,15:38:57:457,0,0,0,0,15:39:0:490,None
28,1,Encode,0,0,0,0,15:39:0:494,0,0,0,0,15:39:5:525,None
28,1,Navigate,71.0368,4,80,2.5,15:39:5:525,80,70.82086,9.033044,0.2159424,15:39:22:561,Hit
28,1,Correction,0,0,0,0,15:39:22:561,0,0,0,0,15:39:26:559,15
29,2,Interval,0,0,0,0,15:39:26:591,0,0,0,0,15:39:29:591,None
29,2,Encode,0,0,0,0,15:39:29:594,0,0,0,0,15:39:34:610,None
29,2,Navigate,68.0368,9,80,2.5,15:39:34:610,118,64.60009,9.662329,3.436714,15:39:41:494,Hit
29,2,Correction,0,0,0,0,15:39:41:494,0,0,0,0,15:39:45:493,16
30,2,Interval,0,0,0,0,15:39:45:523,0,0,0,0,15:39:48:556,None
30,2,Encode,0,0,0,0,15:39:48:559,0,0,0,0,15:39:53:575,None
30,2,Navigate,51.03478,5,80,2.5,15:39:53:575,83,38.09999,15.77529,12.93479,15:40:0:676,Miss
30,2,Correction,0,0,0,0,15:40:0:676,0,0,0,0,15:40:4:674,16
99,99,ShowCross,0,0,0,0,15:40:4:8200,0,0,0,0,15:40:9:721,None
