Subject ID: sub03_2 , Experiment Time: 2020-12-07T13:24:41
Trial,Condition,Stage,TargetPos,CarSpeed,LandmarkPos1,StartPos,StartTime,LandmarkPos2,StopPos,AbsoluteErrorDis,RelativeErrorDis,EndTime,Insinght
1,2,Interval,0,0,0,0,13:25:0:596,0,0,0,0,13:25:3:248,None
1,2,Encode,0,0,0,0,13:25:3:250,0,0,0,0,13:25:8:274,None
1,2,Navigate,66.04025,9,80,2.5,13:25:8:274,78,71.4401,10.5216,-5.399849,13:25:15:923,Hit
1,2,Correction,0,0,0,0,13:25:15:924,0,0,0,0,13:25:19:904,1
2,2,Interval,0,0,0,0,13:25:19:934,0,0,0,0,13:25:22:950,None
2,2,Encode,0,0,0,0,13:25:22:953,0,0,0,0,13:25:27:969,None
2,2,Navigate,46.03473,11,80,2.5,13:25:27:969,47,38.35999,11.85126,7.674744,13:25:31:204,Hit
2,2,Correction,0,0,0,0,13:25:31:204,0,0,0,0,13:25:35:203,2
3,1,Interval,0,0,0,0,13:25:35:234,0,0,0,0,13:25:38:249,None
3,1,Encode,0,0,0,0,13:25:38:253,0,0,0,0,13:25:43:269,None
3,1,Navigate,31.03483,5,80,2.5,13:25:43:269,80,20.50004,13.87561,10.53479,13:25:46:854,Miss
3,1,Correction,0,0,0,0,13:25:46:854,0,0,0,0,13:25:50:851,2
4,1,Interval,0,0,0,0,13:25:50:884,0,0,0,0,13:25:53:916,None
4,1,Encode,0,0,0,0,13:25:53:919,0,0,0,0,13:25:58:951,None
4,1,Navigate,42.03675,8,80,2.5,13:25:58:952,80,27.93998,16.74121,14.09677,13:26:2:87,Miss
4,1,Correction,0,0,0,0,13:26:2:87,0,0,0,0,13:26:6:84,2
5,2,Interval,0,0,0,0,13:26:6:117,0,0,0,0,13:26:9:121,None
5,2,Encode,0,0,0,0,13:26:9:122,0,0,0,0,13:26:14:168,None
