Subject ID: sub05_2 , Experiment Time: 2020-12-17T11:38:44
Trial,Condition,Stage,TargetPos,CarSpeed,LandmarkPos1,StartPos,StartTime,LandmarkPos2,StopPos,AbsoluteErrorDis,RelativeErrorDis,EndTime,Insinght
1,2,Interval,0,0,0,0,11:39:1:434,0,0,0,0,11:39:4:73,None
1,2,Encode,0,0,0,0,11:39:4:75,0,0,0,0,11:39:9:115,None
1,2,Navigate,57.04007,6,80,2.5,11:39:9:116,50,69.21993,15.16228,-12.17986,11:39:20:194,Miss
1,2,Correction,0,0,0,0,11:39:20:194,0,0,0,0,11:39:24:191,0
2,2,Interval,0,0,0,0,11:39:24:223,0,0,0,0,11:39:27:255,None
2,2,Encode,0,0,0,0,11:39:27:258,0,0,0,0,11:39:32:274,None
2,2,Navigate,66.03474,10,80,2.5,11:39:32:274,98,95.09969,30.43555,-29.06496,11:39:41:509,Miss
2,2,Correction,0,0,0,0,11:39:41:509,0,0,0,0,11:39:45:506,0
3,1,Interval,0,0,0,0,11:39:45:539,0,0,0,0,11:39:48:538,None
3,1,Encode,0,0,0,0,11:39:48:542,0,0,0,0,11:39:53:557,None
3,1,Navigate,51.03681,3,80,2.5,11:39:53:557,80,36.52001,17.09641,14.5168,11:40:4:892,Miss
3,1,Correction,0,0,0,0,11:40:4:892,0,0,0,0,11:40:8:889,0
4,0,Interval,0,0,0,0,11:40:8:922,0,0,0,0,11:40:11:922,None
4,0,Encode,0,0,0,0,11:40:11:925,0,0,0,0,11:40:16:940,None
4,0,Navigate,44.03686,5,0,2.5,11:40:16:940,0,33.50006,13.87707,10.5368,11:40:23:108,Miss
4,0,Correction,0,0,0,0,11:40:23:108,0,0,0,0,11:40:27:73,0
5,1,Interval,0,0,0,0,11:40:27:105,0,0,0,0,11:40:30:137,None
5,1,Encode,0,0,0,0,11:40:30:140,0,0,0,0,11:40:35:156,None
5,1,Navigate,70.03477,11,80,2.5,11:40:35:156,80,62.34012,11.86416,7.694645,11:40:40:591,Hit
5,1,Correction,0,0,0,0,11:40:40:591,0,0,0,0,11:40:44:591,1
6,0,Interval,0,0,0,0,11:40:44:621,0,0,0,0,11:40:47:653,None
6,0,Encode,0,0,0,0,11:40:47:657,0,0,0,0,11:40:52:689,None
6,0,Navigate,61.03682,5,0,2.5,11:40:52:689,0,95.89911,36.0129,-34.86229,11:41:11:324,Miss
6,0,Correction,0,0,0,0,11:41:11:324,0,0,0,0,11:41:15:321,1
7,2,Interval,0,0,0,0,11:41:15:354,0,0,0,0,11:41:18:386,None
7,2,Encode,0,0,0,0,11:41:18:389,0,0,0,0,11:41:23:406,None
7,2,Navigate,31.03486,3,80,2.5,11:41:23:406,105,41.86013,14.09744,-10.82527,11:41:36:506,Miss
7,2,Correction,0,0,0,0,11:41:36:506,0,0,0,0,11:41:40:506,1
8,1,Interval,0,0,0,0,11:41:40:537,0,0,0,0,11:41:43:569,None
8,1,Encode,0,0,0,0,11:41:43:572,0,0,0,0,11:41:48:588,None
8,1,Navigate,40.03482,11,80,2.5,11:41:48:588,80,38.13999,9.227201,1.894836,11:41:51:823,Hit
8,1,Correction,0,0,0,0,11:41:51:823,0,0,0,0,11:41:55:789,2
9,1,Interval,0,0,0,0,11:41:55:820,0,0,0,0,11:41:58:853,None
9,1,Encode,0,0,0,0,11:41:58:855,0,0,0,0,11:42:3:871,None
9,1,Navigate,33.0348,8,80,2.5,11:42:3:871,80,23.77998,12.93068,9.254814,11:42:6:506,Hit
9,1,Correction,0,0,0,0,11:42:6:506,0,0,0,0,11:42:10:505,3
10,0,Interval,0,0,0,0,11:42:10:536,0,0,0,0,11:42:13:568,None
10,0,Encode,0,0,0,0,11:42:13:571,0,0,0,0,11:42:18:604,None
10,0,Navigate,37.03678,9,0,2.5,11:42:18:604,0,44.26006,11.56395,-7.223274,11:42:23:206,Hit
10,0,Correction,0,0,0,0,11:42:23:206,0,0,0,0,11:42:27:172,4
11,0,Interval,0,0,0,0,11:42:27:203,0,0,0,0,11:42:30:234,None
11,0,Encode,0,0,0,0,11:42:30:238,0,0,0,0,11:42:35:270,None
11,0,Navigate,49.03679,11,0,2.5,11:42:35:270,0,65.20013,18.51494,-16.16335,11:42:40:938,Miss
11,0,Correction,0,0,0,0,11:42:40:938,0,0,0,0,11:42:44:936,4
12,2,Interval,0,0,0,0,11:42:44:969,0,0,0,0,11:42:48:1,None
12,2,Encode,0,0,0,0,11:42:48:4,0,0,0,0,11:42:53:21,None
12,2,Navigate,71.03484,3,80,2.5,11:42:53:21,100,100.0592,30.39675,-29.02433,11:43:25:521,Miss
12,2,Correction,0,0,0,0,11:43:25:521,0,0,0,0,11:43:29:518,4
13,0,Interval,0,0,0,0,11:43:29:551,0,0,0,0,11:43:32:551,None
13,0,Encode,0,0,0,0,11:43:32:554,0,0,0,0,11:43:37:570,None
13,0,Navigate,54.0368,11,0,2.5,11:43:37:570,0,61.46012,11.68993,-7.423317,11:43:42:904,Hit
13,0,Correction,0,0,0,0,11:43:42:904,0,0,0,0,11:43:46:904,5
14,2,Interval,0,0,0,0,11:43:46:935,0,0,0,0,11:43:49:967,None
14,2,Encode,0,0,0,0,11:43:49:970,0,0,0,0,11:43:54:986,None
14,2,Navigate,77.03486,10,80,2.5,11:43:54:986,98,88.2998,14.43779,-11.26494,11:44:3:554,Miss
14,2,Correction,0,0,0,0,11:44:3:554,0,0,0,0,11:44:7:552,5
15,0,Interval,0,0,0,0,11:44:7:584,0,0,0,0,11:44:10:616,None
15,0,Encode,0,0,0,0,11:44:10:620,0,0,0,0,11:44:15:651,None
15,0,Navigate,42.0368,10,0,2.5,11:44:15:651,0,21.90001,22.06897,20.13679,11:44:17:553,Miss
15,0,Correction,0,0,0,0,11:44:17:553,0,0,0,0,11:44:21:550,5
16,2,Interval,0,0,0,0,11:44:21:584,0,0,0,0,11:44:24:617,None
16,2,Encode,0,0,0,0,11:44:24:619,0,0,0,0,11:44:29:636,None
16,2,Navigate,43.03476,8,80,2.5,11:44:29:636,98,78.18027,36.28715,-35.14551,11:44:39:70,Miss
