Subject ID: sub28_3 , Experiment Time: 2021-01-19T13:01:06
Trial,Condition,Stage,TargetPos,CarSpeed,LandmarkPos1,StartPos,StartTime,LandmarkPos2,StopPos,AbsoluteErrorDis,RelativeErrorDis,EndTime,Insinght
1,0,Interval,0,0,0,0,13:1:18:333,0,0,0,0,13:1:20:987,None
1,0,Encode,0,0,0,0,13:1:20:989,0,0,0,0,13:1:25:999,None
1,0,Navigate,44.03994,6,0,2.5,13:1:26:2,0,35.62007,12.34665,8.419868,13:1:31:503,Hit
1,0,Correction,0,0,0,0,13:1:31:504,0,0,0,0,13:1:35:502,1
2,2,Interval,0,0,0,0,13:1:35:532,0,0,0,0,13:1:38:548,None
2,2,Encode,0,0,0,0,13:1:38:552,0,0,0,0,13:1:43:567,None
2,2,Navigate,51.03679,6,80,2.5,13:1:43:567,42,58.41986,11.66442,-7.38308,13:1:52:868,Hit
2,2,Correction,0,0,0,0,13:1:52:869,0,0,0,0,13:1:56:834,2
3,2,Interval,0,0,0,0,13:1:56:865,0,0,0,0,13:1:59:865,None
3,2,Encode,0,0,0,0,13:1:59:868,0,0,0,0,13:2:4:885,None
3,2,Navigate,74.03677,10,80,2.5,13:2:4:885,92,95.29969,23.1011,-21.26292,13:2:14:152,Miss
3,2,Correction,0,0,0,0,13:2:14:152,0,0,0,0,13:2:18:148,2
4,1,Interval,0,0,0,0,13:2:18:181,0,0,0,0,13:2:21:181,None
4,1,Encode,0,0,0,0,13:2:21:185,0,0,0,0,13:2:26:200,None
4,1,Navigate,57.03676,3,80,2.5,13:2:26:200,80,44.8002,15.20797,12.23656,13:2:40:268,Miss
4,1,Correction,0,0,0,0,13:2:40:268,0,0,0,0,13:2:44:266,2
5,2,Interval,0,0,0,0,13:2:44:298,0,0,0,0,13:2:47:329,None
5,2,Encode,0,0,0,0,13:2:47:332,0,0,0,0,13:2:52:349,None
5,2,Navigate,42.0349,4,80,2.5,13:2:52:349,83,43.78024,9.197672,-1.745338,13:3:2:650,Hit
5,2,Correction,0,0,0,0,13:3:2:650,0,0,0,0,13:3:6:617,3
6,1,Interval,0,0,0,0,13:3:6:647,0,0,0,0,13:3:9:647,None
6,1,Encode,0,0,0,0,13:3:9:650,0,0,0,0,13:3:14:665,None
6,1,Navigate,73.03659,5,80,2.5,13:3:14:666,80,67.19955,10.7527,5.837044,13:3:27:601,Hit
6,1,Correction,0,0,0,0,13:3:27:601,0,0,0,0,13:3:31:599,4
7,0,Interval,0,0,0,0,13:3:31:630,0,0,0,0,13:3:34:662,None
7,0,Encode,0,0,0,0,13:3:34:666,0,0,0,0,13:3:39:697,None
7,0,Navigate,77.03674,5,0,2.5,13:3:39:697,0,42.39993,35.79466,34.63681,13:3:47:632,Miss
7,0,Correction,0,0,0,0,13:3:47:632,0,0,0,0,13:3:51:630,4
8,0,Interval,0,0,0,0,13:3:51:663,0,0,0,0,13:3:54:663,None
8,0,Encode,0,0,0,0,13:3:54:666,0,0,0,0,13:3:59:681,None
8,0,Navigate,40.03673,8,0,2.5,13:3:59:681,0,34.65997,10.50992,5.376755,13:4:3:682,Hit
8,0,Correction,0,0,0,0,13:4:3:682,0,0,0,0,13:4:7:682,5
9,0,Interval,0,0,0,0,13:4:7:713,0,0,0,0,13:4:10:744,None
9,0,Encode,0,0,0,0,13:4:10:748,0,0,0,0,13:4:15:780,None
9,0,Navigate,64.03674,3,0,2.5,13:4:15:780,0,45.22021,20.87129,18.81653,13:4:29:981,Miss
9,0,Correction,0,0,0,0,13:4:29:981,0,0,0,0,13:4:33:979,5
10,0,Interval,0,0,0,0,13:4:34:12,0,0,0,0,13:4:37:12,None
10,0,Encode,0,0,0,0,13:4:37:15,0,0,0,0,13:4:42:31,None
10,0,Navigate,49.03674,3,0,2.5,13:4:42:31,0,46.54024,9.369168,2.496494,13:4:56:699,Hit
