Subject ID: sub27_3 , Experiment Time: 2021-01-14T17:30:13
Trial,Condition,Stage,TargetPos,CarSpeed,LandmarkPos1,StartPos,StartTime,LandmarkPos2,StopPos,AbsoluteErrorDis,RelativeErrorDis,EndTime,Insinght
1,1,Interval,0,0,0,0,17:30:27:314,0,0,0,0,17:30:29:980,None
1,1,Encode,0,0,0,0,17:30:29:982,0,0,0,0,17:30:35:34,None
1,1,Navigate,77.04108,9,80,2.5,17:30:35:35,80,53.44007,25.26959,23.60101,17:30:40:646,Miss
1,1,Correction,0,0,0,0,17:30:40:647,0,0,0,0,17:30:44:642,0
2,0,Interval,0,0,0,0,17:30:44:675,0,0,0,0,17:30:47:674,None
2,0,Encode,0,0,0,0,17:30:47:678,0,0,0,0,17:30:52:693,None
2,0,Navigate,66.03682,3,0,2.5,17:30:52:693,0,37.06002,30.35136,28.9768,17:31:4:195,Miss
2,0,Correction,0,0,0,0,17:31:4:195,0,0,0,0,17:31:8:192,0
3,2,Interval,0,0,0,0,17:31:8:224,0,0,0,0,17:31:11:224,None
3,2,Encode,0,0,0,0,17:31:11:227,0,0,0,0,17:31:16:243,None
3,2,Navigate,46.03676,8,80,2.5,17:31:16:243,69,55.13995,12.82255,-9.103191,17:31:22:811,Hit
3,2,Correction,0,0,0,0,17:31:22:811,0,0,0,0,17:31:26:809,1
4,1,Interval,0,0,0,0,17:31:26:840,0,0,0,0,17:31:29:857,None
4,1,Encode,0,0,0,0,17:31:29:861,0,0,0,0,17:31:34:875,None
4,1,Navigate,51.03668,6,80,2.5,17:31:34:875,80,53.01991,9.245681,-1.983234,17:31:43:277,Hit
4,1,Correction,0,0,0,0,17:31:43:277,0,0,0,0,17:31:47:243,2
5,1,Interval,0,0,0,0,17:31:47:273,0,0,0,0,17:31:50:273,None
5,1,Encode,0,0,0,0,17:31:50:277,0,0,0,0,17:31:55:293,None
5,1,Navigate,37.03681,6,80,2.5,17:31:55:293,80,58.05987,22.88051,-21.02306,17:32:4:527,Miss
5,1,Correction,0,0,0,0,17:32:4:527,0,0,0,0,17:32:8:524,2
6,0,Interval,0,0,0,0,17:32:8:557,0,0,0,0,17:32:11:573,None
