Subject ID: sub08_1 , Experiment Time: 2020-12-18T14:01:15
Trial,Condition,Stage,TargetPos,CarSpeed,LandmarkPos1,StartPos,StartTime,LandmarkPos2,StopPos,AbsoluteErrorDis,RelativeErrorDis,EndTime,Insinght
1,0,Interval,0,0,0,0,14:1:38:90,0,0,0,0,14:1:40:671,None
1,0,Encode,0,0,0,0,14:1:40:673,0,0,0,0,14:1:45:699,None
1,0,Navigate,57.03962,8,0,2.5,14:1:45:699,0,68.26004,14.40291,-11.22042,14:1:53:887,Miss
1,0,Correction,0,0,0,0,14:1:53:887,0,0,0,0,14:1:57:883,0
2,2,Interval,0,0,0,0,14:1:57:914,0,0,0,0,14:2:0:946,None
2,2,Encode,0,0,0,0,14:2:0:949,0,0,0,0,14:2:5:966,None
2,2,Navigate,33.03503,8,80,2.5,14:2:5:966,101,26.65998,11.05407,6.375046,14:2:8:968,Hit
2,2,Correction,0,0,0,0,14:2:8:968,0,0,0,0,14:2:12:967,1
3,1,Interval,0,0,0,0,14:2:12:997,0,0,0,0,14:2:16:29,None
3,1,Encode,0,0,0,0,14:2:16:33,0,0,0,0,14:2:21:49,None
3,1,Navigate,64.03497,10,80,2.5,14:2:21:49,80,58.70015,10.48864,5.334816,14:2:26:651,Hit
3,1,Correction,0,0,0,0,14:2:26:652,0,0,0,0,14:2:30:649,2
4,1,Interval,0,0,0,0,14:2:30:682,0,0,0,0,14:2:33:713,None
4,1,Encode,0,0,0,0,14:2:33:716,0,0,0,0,14:2:38:732,None
4,1,Navigate,79.0349,4,80,2.5,14:2:38:732,80,74.58095,10.0692,4.453957,14:2:56:733,Hit
4,1,Correction,0,0,0,0,14:2:56:733,0,0,0,0,14:3:0:732,3
5,2,Interval,0,0,0,0,14:3:0:764,0,0,0,0,14:3:3:796,None
5,2,Encode,0,0,0,0,14:3:3:799,0,0,0,0,14:3:8:815,None
5,2,Navigate,66.0349,4,80,2.5,14:3:8:815,66,65.54074,9.044065,0.4941635,14:3:24:550,Hit
5,2,Correction,0,0,0,0,14:3:24:551,0,0,0,0,14:3:28:548,4
6,2,Interval,0,0,0,0,14:3:28:580,0,0,0,0,14:3:31:612,None
6,2,Encode,0,0,0,0,14:3:31:614,0,0,0,0,14:3:36:631,None
6,2,Navigate,44.03496,8,80,2.5,14:3:36:631,111,47.45996,9.658232,-3.424999,14:3:42:232,Hit
6,2,Correction,0,0,0,0,14:3:42:232,0,0,0,0,14:3:46:198,5
