Subject ID: sub13_2 , Experiment Time: 2020-12-22T17:20:11
Trial,Condition,Stage,TargetPos,CarSpeed,LandmarkPos1,StartPos,StartTime,LandmarkPos2,StopPos,AbsoluteErrorDis,RelativeErrorDis,EndTime,Insinght
1,1,Interval,0,0,0,0,17:20:23:486,0,0,0,0,17:20:26:64,None
1,1,Encode,0,0,0,0,17:20:26:66,0,0,0,0,17:20:31:105,None
1,1,Navigate,68.04138,6,80,2.5,17:20:31:105,80,63.21982,10.23678,4.82156,17:20:41:191,Hit
1,1,Correction,0,0,0,0,17:20:41:192,0,0,0,0,17:20:45:189,1
2,1,Interval,0,0,0,0,17:20:45:219,0,0,0,0,17:20:48:231,None
2,1,Encode,0,0,0,0,17:20:48:232,0,0,0,0,17:20:53:270,None
2,1,Navigate,51.03724,8,80,2.5,17:20:53:270,80,50.33996,9.057308,0.6972771,17:20:59:222,Hit
2,1,Correction,0,0,0,0,17:20:59:222,0,0,0,0,17:21:3:221,2
3,1,Interval,0,0,0,0,17:21:3:253,0,0,0,0,17:21:6:266,None
3,1,Encode,0,0,0,0,17:21:6:270,0,0,0,0,17:21:11:271,None
3,1,Navigate,74.0329,4,80,2.5,17:21:11:271,80,72.26089,9.2029,1.772003,17:21:28:690,Hit
3,1,Correction,0,0,0,0,17:21:28:690,0,0,0,0,17:21:32:687,3
4,0,Interval,0,0,0,0,17:21:32:719,0,0,0,0,17:21:35:751,None
4,0,Encode,0,0,0,0,17:21:35:754,0,0,0,0,17:21:40:787,None
4,0,Navigate,31.0367,5,0,2.5,17:21:40:787,0,27.00007,9.891603,4.036636,17:21:45:655,Hit
4,0,Correction,0,0,0,0,17:21:45:655,0,0,0,0,17:21:49:653,4
5,2,Interval,0,0,0,0,17:21:49:684,0,0,0,0,17:21:52:699,None
5,2,Encode,0,0,0,0,17:21:52:703,0,0,0,0,17:21:57:720,None
5,2,Navigate,45.03492,4,80,2.5,17:21:57:720,62,36.26007,12.59162,8.774849,17:22:6:155,Hit
5,2,Correction,0,0,0,0,17:22:6:155,0,0,0,0,17:22:10:152,5
6,2,Interval,0,0,0,0,17:22:10:184,0,0,0,0,17:22:13:199,None
6,2,Encode,0,0,0,0,17:22:13:202,0,0,0,0,17:22:18:218,None
6,2,Navigate,31.03481,3,80,2.5,17:22:18:218,102,23.19999,11.95557,7.834829,17:22:25:96,Hit
6,2,Correction,0,0,0,0,17:22:25:96,0,0,0,0,17:22:29:103,6
7,2,Interval,0,0,0,0,17:22:29:135,0,0,0,0,17:22:32:165,None
7,2,Encode,0,0,0,0,17:22:32:169,0,0,0,0,17:22:37:201,None
7,2,Navigate,61.03634,6,80,2.5,17:22:37:201,52,43.42,19.79609,17.61634,17:22:43:971,Miss
7,2,Correction,0,0,0,0,17:22:43:971,0,0,0,0,17:22:47:968,6
8,1,Interval,0,0,0,0,17:22:48:1,0,0,0,0,17:22:51:15,None
8,1,Encode,0,0,0,0,17:22:51:18,0,0,0,0,17:22:56:68,None
8,1,Navigate,51.03868,10,80,2.5,17:22:56:68,80,42.50009,12.42799,8.538593,17:23:0:21,Hit
8,1,Correction,0,0,0,0,17:23:0:22,0,0,0,0,17:23:4:2,7
9,1,Interval,0,0,0,0,17:23:4:33,0,0,0,0,17:23:7:49,None
9,1,Encode,0,0,0,0,17:23:7:52,0,0,0,0,17:23:12:68,None
9,1,Navigate,73.03481,10,80,2.5,17:23:12:68,80,67.70011,10.48856,5.334694,17:23:18:570,Hit
9,1,Correction,0,0,0,0,17:23:18:570,0,0,0,0,17:23:22:568,8
10,2,Interval,0,0,0,0,17:23:22:600,0,0,0,0,17:23:25:614,None
10,2,Encode,0,0,0,0,17:23:25:618,0,0,0,0,17:23:30:634,None
10,2,Navigate,42.03483,11,80,2.5,17:23:30:634,64,39.46,9.390475,2.574837,17:23:33:970,Hit
10,2,Correction,0,0,0,0,17:23:33:970,0,0,0,0,17:23:37:941,9
11,2,Interval,0,0,0,0,17:23:37:962,0,0,0,0,17:23:40:982,None
11,2,Encode,0,0,0,0,17:23:40:985,0,0,0,0,17:23:46:17,None
11,2,Navigate,51.03676,11,80,2.5,17:23:46:17,54,52.22007,9.107652,-1.183304,17:23:50:519,Hit
11,2,Correction,0,0,0,0,17:23:50:519,0,0,0,0,17:23:54:484,10
12,0,Interval,0,0,0,0,17:23:54:515,0,0,0,0,17:23:57:532,None
12,0,Encode,0,0,0,0,17:23:57:535,0,0,0,0,17:24:2:566,None
