Subject ID: sub27_2 , Experiment Time: 2021-01-14T17:03:39
Trial,Condition,Stage,TargetPos,CarSpeed,LandmarkPos1,StartPos,StartTime,LandmarkPos2,StopPos,AbsoluteErrorDis,RelativeErrorDis,EndTime,Insinght
1,2,Interval,0,0,0,0,17:14:5:436,0,0,0,0,17:14:7:974,None
1,2,Encode,0,0,0,0,17:14:7:976,0,0,0,0,17:14:12:982,None
1,2,Navigate,70.03648,10,80,2.5,17:14:12:982,61,47.30011,24.46411,22.73638,17:14:17:450,Miss
1,2,Correction,0,0,0,0,17:14:17:450,0,0,0,0,17:14:21:428,0
2,1,Interval,0,0,0,0,17:14:21:461,0,0,0,0,17:14:24:460,None
2,1,Encode,0,0,0,0,17:14:24:464,0,0,0,0,17:14:29:479,None
2,1,Navigate,33.03681,3,80,2.5,17:14:29:479,80,25.95996,11.47305,7.076851,17:14:37:280,Hit
2,1,Correction,0,0,0,0,17:14:37:280,0,0,0,0,17:14:41:280,1
3,1,Interval,0,0,0,0,17:14:41:311,0,0,0,0,17:14:44:326,None
3,1,Encode,0,0,0,0,17:14:44:329,0,0,0,0,17:14:49:346,None
3,1,Navigate,42.03682,4,80,2.5,17:14:49:346,80,41.7802,9.03412,0.2566185,17:14:59:147,Hit
3,1,Correction,0,0,0,0,17:14:59:147,0,0,0,0,17:15:3:146,2
4,2,Interval,0,0,0,0,17:15:3:176,0,0,0,0,17:15:6:193,None
4,2,Encode,0,0,0,0,17:15:6:196,0,0,0,0,17:15:11:211,None
4,2,Navigate,40.03684,8,80,2.5,17:15:11:211,44,28.57998,14.58798,11.45686,17:15:14:446,Miss
4,2,Correction,0,0,0,0,17:15:14:446,0,0,0,0,17:15:18:444,2
5,2,Interval,0,0,0,0,17:15:18:476,0,0,0,0,17:15:21:492,None
5,2,Encode,0,0,0,0,17:15:21:496,0,0,0,0,17:15:26:528,None
5,2,Navigate,31.03868,11,80,2.5,17:15:26:528,106,47.16004,18.47827,-16.12136,17:15:30:563,Miss
5,2,Correction,0,0,0,0,17:15:30:563,0,0,0,0,17:15:34:559,2
6,1,Interval,0,0,0,0,17:15:34:592,0,0,0,0,17:15:37:592,None
6,1,Encode,0,0,0,0,17:15:37:595,0,0,0,0,17:15:42:612,None
6,1,Navigate,71.0368,5,80,2.5,17:15:42:612,80,57.59969,16.18966,13.43711,17:15:53:612,Miss
6,1,Correction,0,0,0,0,17:15:53:612,0,0,0,0,17:15:57:610,2
7,0,Interval,0,0,0,0,17:15:57:642,0,0,0,0,17:16:0:641,None
7,0,Encode,0,0,0,0,17:16:0:645,0,0,0,0,17:16:5:660,None
7,0,Navigate,79.03677,11,0,2.5,17:16:5:660,0,100.1803,22.99129,-21.14355,17:16:14:528,Miss
7,0,Correction,0,0,0,0,17:16:14:528,0,0,0,0,17:16:18:525,2
8,1,Interval,0,0,0,0,17:16:18:559,0,0,0,0,17:16:21:575,None
8,1,Encode,0,0,0,0,17:16:21:578,0,0,0,0,17:16:26:594,None
8,1,Navigate,44.03679,8,80,2.5,17:16:26:594,80,48.89996,10.25668,-4.863171,17:16:32:362,Hit
8,1,Correction,0,0,0,0,17:16:32:362,0,0,0,0,17:16:36:327,3
9,0,Interval,0,0,0,0,17:16:36:359,0,0,0,0,17:16:39:374,None
9,0,Encode,0,0,0,0,17:16:39:377,0,0,0,0,17:16:44:393,None
9,0,Navigate,68.03671,10,0,2.5,17:16:44:393,0,76.89997,12.65334,-8.863258,17:16:51:828,Hit
9,0,Correction,0,0,0,0,17:16:51:828,0,0,0,0,17:16:55:794,4
10,0,Interval,0,0,0,0,17:16:55:824,0,0,0,0,17:16:58:823,None
10,0,Encode,0,0,0,0,17:16:58:827,0,0,0,0,17:17:3:843,None
10,0,Navigate,49.03679,5,0,2.5,17:17:3:843,0,71.49948,24.20995,-22.46269,17:17:17:610,Miss
10,0,Correction,0,0,0,0,17:17:17:611,0,0,0,0,17:17:21:607,4
11,0,Interval,0,0,0,0,17:17:21:641,0,0,0,0,17:17:24:640,None
11,0,Encode,0,0,0,0,17:17:24:644,0,0,0,0,17:17:29:659,None
11,0,Navigate,30.03671,9,0,2.5,17:17:29:659,0,27.16003,9.47759,2.876686,17:17:32:394,Hit
11,0,Correction,0,0,0,0,17:17:32:394,0,0,0,0,17:17:36:359,5
12,2,Interval,0,0,0,0,17:17:36:390,0,0,0,0,17:17:39:390,None
