Subject ID: sub23_3 , Experiment Time: 2021-01-11T16:47:56
Trial,Condition,Stage,TargetPos,CarSpeed,LandmarkPos1,StartPos,StartTime,LandmarkPos2,StopPos,AbsoluteErrorDis,RelativeErrorDis,EndTime,Insinght
1,0,Interval,0,0,0,0,16:48:15:541,0,0,0,0,16:48:18:178,None
1,0,Encode,0,0,0,0,16:48:18:180,0,0,0,0,16:48:23:225,None
1,0,Navigate,31.04079,9,0,2.5,16:48:23:226,0,15.82001,17.69794,15.22078,16:48:24:674,Miss
1,0,Correction,0,0,0,0,16:48:24:675,0,0,0,0,16:48:28:671,0
2,0,Interval,0,0,0,0,16:48:28:703,0,0,0,0,16:48:31:702,None
2,0,Encode,0,0,0,0,16:48:31:705,0,0,0,0,16:48:36:705,None
2,0,Navigate,74.035,10,0,2.5,16:48:36:705,0,75.89999,9.221155,-1.86499,16:48:44:39,Hit
2,0,Correction,0,0,0,0,16:48:44:39,0,0,0,0,16:48:48:37,1
3,2,Interval,0,0,0,0,16:48:48:70,0,0,0,0,16:48:51:69,None
3,2,Encode,0,0,0,0,16:48:51:72,0,0,0,0,16:48:56:88,None
3,2,Navigate,42.03681,5,80,2.5,16:48:56:88,117,24.30006,19.90329,17.73675,16:49:0:422,Miss
3,2,Correction,0,0,0,0,16:49:0:422,0,0,0,0,16:49:4:419,1
4,1,Interval,0,0,0,0,16:49:4:452,0,0,0,0,16:49:7:452,None
4,1,Encode,0,0,0,0,16:49:7:455,0,0,0,0,16:49:12:470,None
4,1,Navigate,40.03468,6,80,2.5,16:49:12:470,80,29.62008,13.78459,10.4146,16:49:16:972,Miss
4,1,Correction,0,0,0,0,16:49:16:972,0,0,0,0,16:49:20:970,1
5,2,Interval,0,0,0,0,16:49:21:1,0,0,0,0,16:49:24:18,None
5,2,Encode,0,0,0,0,16:49:24:21,0,0,0,0,16:49:29:53,None
5,2,Navigate,68.03675,11,80,2.5,16:49:29:53,111,71.14017,9.548838,-3.103416,16:49:35:256,Hit
