Subject ID: sub24_1 , Experiment Time: 2021-01-12T15:19:24
Trial,Condition,Stage,TargetPos,CarSpeed,LandmarkPos1,StartPos,StartTime,LandmarkPos2,StopPos,AbsoluteErrorDis,RelativeErrorDis,EndTime,Insinght
1,0,Interval,0,0,0,0,15:19:41:500,0,0,0,0,15:19:44:124,None
1,0,Encode,0,0,0,0,15:19:44:126,0,0,0,0,15:19:49:143,None
1,0,Navigate,54.03908,5,0,2.5,15:19:49:144,0,43.9999,13.50302,10.03918,15:19:57:433,Miss
1,0,Correction,0,0,0,0,15:19:57:433,0,0,0,0,15:20:1:399,0
2,0,Interval,0,0,0,0,15:20:1:429,0,0,0,0,15:20:4:428,None
2,0,Encode,0,0,0,0,15:20:4:432,0,0,0,0,15:20:9:447,None
2,0,Navigate,40.0368,8,0,2.5,15:20:9:448,0,45.05996,10.33352,-5.023159,15:20:14:748,Hit
2,0,Correction,0,0,0,0,15:20:14:748,0,0,0,0,15:20:18:747,1
3,2,Interval,0,0,0,0,15:20:18:778,0,0,0,0,15:20:21:795,None
3,2,Encode,0,0,0,0,15:20:21:798,0,0,0,0,15:20:26:815,None
3,2,Navigate,48.03679,6,80,2.5,15:20:26:815,65,50.61993,9.39263,-2.583149,15:20:34:815,Hit
3,2,Correction,0,0,0,0,15:20:34:815,0,0,0,0,15:20:38:814,2
4,2,Interval,0,0,0,0,15:20:38:845,0,0,0,0,15:20:41:861,None
4,2,Encode,0,0,0,0,15:20:41:864,0,0,0,0,15:20:46:880,None
4,2,Navigate,79.0368,8,80,2.5,15:20:46:880,105,79.7803,9.061033,-0.7434998,15:20:56:515,Hit
4,2,Correction,0,0,0,0,15:20:56:515,0,0,0,0,15:21:0:513,3
5,2,Interval,0,0,0,0,15:21:0:545,0,0,0,0,15:21:3:560,None
5,2,Encode,0,0,0,0,15:21:3:564,0,0,0,0,15:21:8:580,None
5,2,Navigate,71.03685,8,80,2.5,15:21:8:580,60,79.6203,12.45893,-8.58345,15:21:18:198,Hit
5,2,Correction,0,0,0,0,15:21:18:198,0,0,0,0,15:21:22:180,4
6,1,Interval,0,0,0,0,15:21:22:211,0,0,0,0,15:21:25:236,None
6,1,Encode,0,0,0,0,15:21:25:240,0,0,0,0,15:21:30:264,None
6,1,Navigate,49.03699,3,80,2.5,15:21:30:264,80,53.5604,10.09999,-4.523411,15:21:47:267,Hit
6,1,Correction,0,0,0,0,15:21:47:267,0,0,0,0,15:21:51:248,5
7,2,Interval,0,0,0,0,15:21:51:278,0,0,0,0,15:21:54:293,None
7,2,Encode,0,0,0,0,15:21:54:297,0,0,0,0,15:21:59:311,None
7,2,Navigate,34.03678,10,80,2.5,15:21:59:312,101,30.70004,9.627221,3.336733,15:22:2:113,Hit
7,2,Correction,0,0,0,0,15:22:2:113,0,0,0,0,15:22:6:80,6
8,2,Interval,0,0,0,0,15:22:6:110,0,0,0,0,15:22:9:109,None
8,2,Encode,0,0,0,0,15:22:9:113,0,0,0,0,15:22:14:128,None
8,2,Navigate,61.03683,11,80,2.5,15:22:14:128,68,67.62015,11.17541,-6.583317,15:22:20:30,Hit
8,2,Correction,0,0,0,0,15:22:20:30,0,0,0,0,15:22:24:29,7
9,0,Interval,0,0,0,0,15:22:24:59,0,0,0,0,15:22:27:59,None
9,0,Encode,0,0,0,0,15:22:27:62,0,0,0,0,15:22:32:78,None
9,0,Navigate,39.0368,6,0,2.5,15:22:32:78,0,34.18008,10.25363,4.85672,15:22:37:344,Hit
9,0,Correction,0,0,0,0,15:22:37:344,0,0,0,0,15:22:41:312,8
10,0,Interval,0,0,0,0,15:22:41:343,0,0,0,0,15:22:44:359,None
10,0,Encode,0,0,0,0,15:22:44:362,0,0,0,0,15:22:49:360,None
10,0,Navigate,31.03478,8,0,2.5,15:22:49:360,0,33.53997,9.371597,-2.505194,15:22:53:231,Hit
10,0,Correction,0,0,0,0,15:22:53:231,0,0,0,0,15:22:57:195,9
11,0,Interval,0,0,0,0,15:22:57:228,0,0,0,0,15:23:0:235,None
11,0,Encode,0,0,0,0,15:23:0:239,0,0,0,0,15:23:5:263,None
11,0,Navigate,44.03714,10,0,2.5,15:23:5:263,0,60.50016,18.77711,-16.46302,15:23:11:29,Miss
11,0,Correction,0,0,0,0,15:23:11:29,0,0,0,0,15:23:15:26,9
12,1,Interval,0,0,0,0,15:23:15:59,0,0,0,0,15:23:18:58,None
12,1,Encode,0,0,0,0,15:23:18:61,0,0,0,0,15:23:23:78,None
12,1,Navigate,51.03683,9,80,2.5,15:23:23:78,80,55.42007,10.038,-4.383244,15:23:28:945,Hit
12,1,Correction,0,0,0,0,15:23:28:945,0,0,0,0,15:23:32:927,10
13,2,Interval,0,0,0,0,15:23:32:958,0,0,0,0,15:23:35:958,None
13,2,Encode,0,0,0,0,15:23:35:961,0,0,0,0,15:23:40:977,None
13,2,Navigate,43.03682,8,80,2.5,15:23:40:977,110,59.13995,18.46238,-16.10313,15:23:48:45,Miss
13,2,Correction,0,0,0,0,15:23:48:45,0,0,0,0,15:23:52:24,10
