Subject ID: sub23_2 , Experiment Time: 2021-01-11T16:30:10
Trial,Condition,Stage,TargetPos,CarSpeed,LandmarkPos1,StartPos,StartTime,LandmarkPos2,StopPos,AbsoluteErrorDis,RelativeErrorDis,EndTime,Insinght
1,0,Interval,0,0,0,0,16:30:34:719,0,0,0,0,16:30:37:363,None
1,0,Encode,0,0,0,0,16:30:37:365,0,0,0,0,16:30:42:400,None
1,0,Navigate,45.03933,8,0,2.5,16:30:42:400,0,46.49996,9.147667,-1.460632,16:30:47:862,Hit
1,0,Correction,0,0,0,0,16:30:47:862,0,0,0,0,16:30:51:826,1
2,1,Interval,0,0,0,0,16:30:51:855,0,0,0,0,16:30:54:872,None
2,1,Encode,0,0,0,0,16:30:54:875,0,0,0,0,16:30:59:890,None
2,1,Navigate,51.03479,3,80,2.5,16:30:59:890,80,31.17991,21.81209,19.85488,16:31:9:429,Miss
2,1,Correction,0,0,0,0,16:31:9:429,0,0,0,0,16:31:13:405,1
3,2,Interval,0,0,0,0,16:31:13:425,0,0,0,0,16:31:16:438,None
3,2,Encode,0,0,0,0,16:31:16:442,0,0,0,0,16:31:21:472,None
3,2,Navigate,48.03725,9,80,2.5,16:31:21:472,92,44.26006,9.78857,3.777195,16:31:26:91,Hit
3,2,Correction,0,0,0,0,16:31:26:92,0,0,0,0,16:31:30:57,2
4,0,Interval,0,0,0,0,16:31:30:88,0,0,0,0,16:31:33:103,None
4,0,Encode,0,0,0,0,16:31:33:107,0,0,0,0,16:31:38:139,None
4,0,Navigate,77.0368,10,0,2.5,16:31:38:139,0,100.0996,24.76778,-23.06282,16:31:47:857,Miss
4,0,Correction,0,0,0,0,16:31:47:857,0,0,0,0,16:31:51:855,2
5,0,Interval,0,0,0,0,16:31:51:888,0,0,0,0,16:31:54:903,None
5,0,Encode,0,0,0,0,16:31:54:906,0,0,0,0,16:31:59:923,None
5,0,Navigate,31.03481,11,0,2.5,16:31:59:923,0,19.87999,14.35204,11.15482,16:32:1:491,Miss
5,0,Correction,0,0,0,0,16:32:1:491,0,0,0,0,16:32:5:489,2
6,0,Interval,0,0,0,0,16:32:5:521,0,0,0,0,16:32:8:520,None
6,0,Encode,0,0,0,0,16:32:8:524,0,0,0,0,16:32:13:539,None
6,0,Navigate,70.03674,3,0,2.5,16:32:13:539,0,46.00023,25.6769,24.03651,16:32:28:6,Miss
6,0,Correction,0,0,0,0,16:32:28:6,0,0,0,0,16:32:32:3,2
7,1,Interval,0,0,0,0,16:32:32:36,0,0,0,0,16:32:35:36,None
7,1,Encode,0,0,0,0,16:32:35:40,0,0,0,0,16:32:40:56,None
