Subject ID: sub11_2 , Experiment Time: 2020-12-22T13:07:29
Trial,Condition,Stage,TargetPos,CarSpeed,LandmarkPos1,StartPos,StartTime,LandmarkPos2,StopPos,AbsoluteErrorDis,RelativeErrorDis,EndTime,Insinght
1,2,Interval,0,0,0,0,13:7:42:19,0,0,0,0,13:7:44:675,None
1,2,Encode,0,0,0,0,13:7:44:677,0,0,0,0,13:7:49:705,None
1,2,Navigate,51.03876,10,80,2.5,13:7:49:706,77,66.70013,18.07831,-15.66137,13:7:56:101,Miss
1,2,Correction,0,0,0,0,13:7:56:101,0,0,0,0,13:8:0:96,0
2,2,Interval,0,0,0,0,13:8:0:128,0,0,0,0,13:8:3:144,None
2,2,Encode,0,0,0,0,13:8:3:148,0,0,0,0,13:8:8:163,None
2,2,Navigate,31.03688,3,80,2.5,13:8:8:164,92,20.26001,14.06023,10.77687,13:8:14:65,Miss
2,2,Correction,0,0,0,0,13:8:14:65,0,0,0,0,13:8:18:63,0
3,0,Interval,0,0,0,0,13:8:18:95,0,0,0,0,13:8:21:127,None
3,0,Encode,0,0,0,0,13:8:21:130,0,0,0,0,13:8:26:162,None
3,0,Navigate,42.03675,6,0,2.5,13:8:26:162,0,41.98001,9.030663,0.05673599,13:8:32:697,Hit
3,0,Correction,0,0,0,0,13:8:32:698,0,0,0,0,13:8:36:664,1
4,1,Interval,0,0,0,0,13:8:36:695,0,0,0,0,13:8:39:726,None
4,1,Encode,0,0,0,0,13:8:39:729,0,0,0,0,13:8:44:746,None
4,1,Navigate,51.03482,11,80,2.5,13:8:44:746,80,52.88007,9.217141,-1.845245,13:8:49:314,Hit
4,1,Correction,0,0,0,0,13:8:49:314,0,0,0,0,13:8:53:280,2
5,2,Interval,0,0,0,0,13:8:53:310,0,0,0,0,13:8:56:310,None
5,2,Encode,0,0,0,0,13:8:56:315,0,0,0,0,13:9:1:330,None
5,2,Navigate,61.0349,8,80,2.5,13:9:1:330,93,71.14011,13.55233,-10.1052,13:9:9:897,Miss
5,2,Correction,0,0,0,0,13:9:9:897,0,0,0,0,13:9:13:896,2
6,2,Interval,0,0,0,0,13:9:13:928,0,0,0,0,13:9:16:959,None
6,2,Encode,0,0,0,0,13:9:16:962,0,0,0,0,13:9:21:978,None
6,2,Navigate,49.03487,8,80,2.5,13:9:21:978,74,41.05997,12.04782,7.974907,13:9:26:780,Hit
6,2,Correction,0,0,0,0,13:9:26:780,0,0,0,0,13:9:30:746,3
7,2,Interval,0,0,0,0,13:9:30:777,0,0,0,0,13:9:33:809,None
7,2,Encode,0,0,0,0,13:9:33:812,0,0,0,0,13:9:38:811,None
7,2,Navigate,43.03272,10,80,2.5,13:9:38:812,40,60.70016,19.84165,-17.66743,13:9:44:613,Miss
7,2,Correction,0,0,0,0,13:9:44:613,0,0,0,0,13:9:48:610,3
8,2,Interval,0,0,0,0,13:9:48:643,0,0,0,0,13:9:51:675,None
8,2,Encode,0,0,0,0,13:9:51:678,0,0,0,0,13:9:56:694,None
8,2,Navigate,70.03484,10,80,2.5,13:9:56:694,58,80.89991,14.128,-10.86507,13:10:4:529,Miss
8,2,Correction,0,0,0,0,13:10:4:529,0,0,0,0,13:10:8:528,3
9,2,Interval,0,0,0,0,13:10:8:559,0,0,0,0,13:10:11:576,None
9,2,Encode,0,0,0,0,13:10:11:580,0,0,0,0,13:10:16:595,None
9,2,Navigate,64.0368,3,80,2.5,13:10:16:595,96,46.30024,19.90314,17.73657,13:10:31:179,Miss
9,2,Correction,0,0,0,0,13:10:31:179,0,0,0,0,13:10:35:176,3
10,0,Interval,0,0,0,0,13:10:35:209,0,0,0,0,13:10:38:241,None
10,0,Encode,0,0,0,0,13:10:38:244,0,0,0,0,13:10:43:244,None
10,0,Navigate,30.0328,10,0,2.5,13:10:43:244,0,30.90005,9.072234,-0.8672485,13:10:46:78,Hit
10,0,Correction,0,0,0,0,13:10:46:78,0,0,0,0,13:10:50:44,4
11,0,Interval,0,0,0,0,13:10:50:75,0,0,0,0,13:10:53:75,None
11,0,Encode,0,0,0,0,13:10:53:78,0,0,0,0,13:10:58:94,None
11,0,Navigate,44.03687,3,0,2.5,13:10:58:94,0,29.07993,17.47166,14.95694,13:11:6:927,Miss
11,0,Correction,0,0,0,0,13:11:6:928,0,0,0,0,13:11:10:925,4
12,0,Interval,0,0,0,0,13:11:10:958,0,0,0,0,13:11:13:990,None
12,0,Encode,0,0,0,0,13:11:13:994,0,0,0,0,13:11:19:25,None
12,0,Navigate,73.03686,8,0,2.5,13:11:19:25,0,78.82028,10.72366,-5.783424,13:11:28:528,Hit
12,0,Correction,0,0,0,0,13:11:28:528,0,0,0,0,13:11:32:493,5
13,1,Interval,0,0,0,0,13:11:32:524,0,0,0,0,13:11:35:529,None
13,1,Encode,0,0,0,0,13:11:35:529,0,0,0,0,13:11:40:576,None
13,1,Navigate,68.03802,6,80,2.5,13:11:40:576,80,62.61983,10.53115,5.41819,13:11:50:544,Hit
13,1,Correction,0,0,0,0,13:11:50:544,0,0,0,0,13:11:54:543,6
14,2,Interval,0,0,0,0,13:11:54:574,0,0,0,0,13:11:57:587,None
14,2,Encode,0,0,0,0,13:11:57:588,0,0,0,0,13:12:2:609,None
14,2,Navigate,57.03712,8,80,2.5,13:12:2:609,91,59.13995,9.272048,-2.102833,13:12:9:677,Hit
14,2,Correction,0,0,0,0,13:12:9:677,0,0,0,0,13:12:13:676,7
15,0,Interval,0,0,0,0,13:12:13:707,0,0,0,0,13:12:16:738,None
15,0,Encode,0,0,0,0,13:12:16:742,0,0,0,0,13:12:21:774,None
15,0,Navigate,39.03692,11,0,2.5,13:12:21:774,0,46.94004,12.00035,-7.903118,13:12:25:777,Hit
15,0,Correction,0,0,0,0,13:12:25:777,0,0,0,0,13:12:29:742,8
16,0,Interval,0,0,0,0,13:12:29:773,0,0,0,0,13:12:32:805,None
16,0,Encode,0,0,0,0,13:12:32:808,0,0,0,0,13:12:37:841,None
16,0,Navigate,66.03685,4,0,2.5,13:12:37:842,0,45.94029,22.03227,20.09656,13:12:48:676,Miss
16,0,Correction,0,0,0,0,13:12:48:676,0,0,0,0,13:12:52:673,8
17,1,Interval,0,0,0,0,13:12:52:706,0,0,0,0,13:12:55:706,None
17,1,Encode,0,0,0,0,13:12:55:709,0,0,0,0,13:13:0:709,None
17,1,Navigate,54.03291,3,80,2.5,13:13:0:709,80,44.5602,13.08758,9.47271,13:13:14:726,Hit
17,1,Correction,0,0,0,0,13:13:14:726,0,0,0,0,13:13:18:725,9
18,2,Interval,0,0,0,0,13:13:18:756,0,0,0,0,13:13:21:788,None
18,2,Encode,0,0,0,0,13:13:21:791,0,0,0,0,13:13:26:807,None
18,2,Navigate,71.03481,6,80,2.5,13:13:26:807,44,65.85986,10.40822,5.174957,13:13:37:342,Hit
18,2,Correction,0,0,0,0,13:13:37:342,0,0,0,0,13:13:41:341,10
19,0,Interval,0,0,0,0,13:13:41:373,0,0,0,0,13:13:44:404,None
19,0,Encode,0,0,0,0,13:13:44:407,0,0,0,0,13:13:49:439,None
19,0,Navigate,40.03674,11,0,2.5,13:13:49:439,0,44.08002,9.894298,-4.043285,13:13:53:175,Hit
19,0,Correction,0,0,0,0,13:13:53:175,0,0,0,0,13:13:57:141,11
20,0,Interval,0,0,0,0,13:13:57:172,0,0,0,0,13:14:0:204,None
20,0,Encode,0,0,0,0,13:14:0:207,0,0,0,0,13:14:5:239,None
