Subject ID: sub26_2 , Experiment Time: 2021-01-14T15:18:01
Trial,Condition,Stage,TargetPos,CarSpeed,LandmarkPos1,StartPos,StartTime,LandmarkPos2,StopPos,AbsoluteErrorDis,RelativeErrorDis,EndTime,Insinght
1,0,Interval,0,0,0,0,15:18:14:336,0,0,0,0,15:18:17:22,None
1,0,Encode,0,0,0,0,15:18:17:23,0,0,0,0,15:18:22:48,None
1,0,Navigate,79.03983,9,0,2.5,15:18:22:48,0,75.94011,9.547474,3.099716,15:18:30:183,Hit
1,0,Correction,0,0,0,0,15:18:30:183,0,0,0,0,15:18:34:147,1
2,0,Interval,0,0,0,0,15:18:34:178,0,0,0,0,15:18:37:178,None
2,0,Encode,0,0,0,0,15:18:37:181,0,0,0,0,15:18:42:197,None
2,0,Navigate,33.03684,4,0,2.5,15:18:42:197,0,24.01998,12.7614,9.016859,15:18:47:564,Hit
2,0,Correction,0,0,0,0,15:18:47:564,0,0,0,0,15:18:51:562,2
3,0,Interval,0,0,0,0,15:18:51:595,0,0,0,0,15:18:54:611,None
3,0,Encode,0,0,0,0,15:18:54:614,0,0,0,0,15:18:59:612,None
3,0,Navigate,70.03478,3,0,2.5,15:18:59:612,0,50.74034,21.30322,19.29445,15:19:15:680,Miss
3,0,Correction,0,0,0,0,15:19:15:680,0,0,0,0,15:19:19:678,2
4,1,Interval,0,0,0,0,15:19:19:711,0,0,0,0,15:19:22:727,None
4,1,Encode,0,0,0,0,15:19:22:730,0,0,0,0,15:19:27:745,None
4,1,Navigate,74.03674,5,80,2.5,15:19:27:745,80,79.49936,10.55412,-5.462624,15:19:43:130,Hit
4,1,Correction,0,0,0,0,15:19:43:130,0,0,0,0,15:19:47:96,3
5,2,Interval,0,0,0,0,15:19:47:126,0,0,0,0,15:19:50:126,None
5,2,Encode,0,0,0,0,15:19:50:129,0,0,0,0,15:19:55:145,None
5,2,Navigate,40.03688,3,80,2.5,15:19:55:145,53,25.83996,16.82562,14.19692,15:20:2:913,Miss
5,2,Correction,0,0,0,0,15:20:2:913,0,0,0,0,15:20:6:910,3
6,1,Interval,0,0,0,0,15:20:6:943,0,0,0,0,15:20:9:942,None
6,1,Encode,0,0,0,0,15:20:9:945,0,0,0,0,15:20:14:962,None
6,1,Navigate,54.03679,11,80,2.5,15:20:14:962,80,48.70005,10.48952,5.336742,15:20:19:130,Hit
6,1,Correction,0,0,0,0,15:20:19:130,0,0,0,0,15:20:23:129,4
7,0,Interval,0,0,0,0,15:20:23:159,0,0,0,0,15:20:26:175,None
