Subject ID: sub12_1 , Experiment Time: 2020-12-22T15:26:25
Trial,Condition,Stage,TargetPos,CarSpeed,LandmarkPos1,StartPos,StartTime,LandmarkPos2,StopPos,AbsoluteErrorDis,RelativeErrorDis,EndTime,Insinght
1,2,Interval,0,0,0,0,15:26:46:226,0,0,0,0,15:26:48:621,None
1,2,Encode,0,0,0,0,15:26:48:623,0,0,0,0,15:26:53:666,None
1,2,Navigate,79.041,3,80,2.5,15:26:53:668,77,46.90025,33.38522,32.14075,15:27:8:432,Miss
1,2,Correction,0,0,0,0,15:27:8:433,0,0,0,0,15:27:12:411,0
2,0,Interval,0,0,0,0,15:27:12:444,0,0,0,0,15:27:15:475,None
2,0,Encode,0,0,0,0,15:27:15:478,0,0,0,0,15:27:20:510,None
2,0,Navigate,46.03674,5,0,2.5,15:27:20:510,0,41.89993,9.93291,4.136806,15:27:28:363,Hit
2,0,Correction,0,0,0,0,15:27:28:363,0,0,0,0,15:27:32:329,1
3,2,Interval,0,0,0,0,15:27:32:360,0,0,0,0,15:27:35:374,None
3,2,Encode,0,0,0,0,15:27:35:378,0,0,0,0,15:27:40:393,None
3,2,Navigate,70.03484,11,80,2.5,15:27:40:393,82,87.20026,19.39594,-17.16541,15:27:48:63,Miss
3,2,Correction,0,0,0,0,15:27:48:63,0,0,0,0,15:27:52:59,1
4,2,Interval,0,0,0,0,15:27:52:93,0,0,0,0,15:27:55:108,None
4,2,Encode,0,0,0,0,15:27:55:111,0,0,0,0,15:28:0:128,None
4,2,Navigate,40.03495,6,80,2.5,15:28:0:128,49,54.5799,17.12035,-14.54495,15:28:8:796,Miss
4,2,Correction,0,0,0,0,15:28:8:796,0,0,0,0,15:28:12:792,1
5,1,Interval,0,0,0,0,15:28:12:825,0,0,0,0,15:28:15:840,None
5,1,Encode,0,0,0,0,15:28:15:844,0,0,0,0,15:28:20:860,None
5,1,Navigate,34.03489,8,80,2.5,15:28:20:860,80,23.93998,13.54467,10.0949,15:28:23:513,Miss
5,1,Correction,0,0,0,0,15:28:23:513,0,0,0,0,15:28:27:510,1
6,1,Interval,0,0,0,0,15:28:27:541,0,0,0,0,15:28:30:574,None
6,1,Encode,0,0,0,0,15:28:30:577,0,0,0,0,15:28:35:594,None
6,1,Navigate,57.03485,3,80,2.5,15:28:35:594,80,41.62013,17.86519,15.41472,15:28:48:628,Miss
6,1,Correction,0,0,0,0,15:28:48:628,0,0,0,0,15:28:52:609,1
7,2,Interval,0,0,0,0,15:28:52:641,0,0,0,0,15:28:55:644,None
7,2,Encode,0,0,0,0,15:28:55:648,0,0,0,0,15:29:0:644,None
7,2,Navigate,51.03447,8,80,2.5,15:29:0:645,91,57.21995,10.94586,-6.185486,15:29:7:478,Hit
7,2,Correction,0,0,0,0,15:29:7:478,0,0,0,0,15:29:11:476,2
8,2,Interval,0,0,0,0,15:29:11:507,0,0,0,0,15:29:14:522,None
8,2,Encode,0,0,0,0,15:29:14:526,0,0,0,0,15:29:19:543,None
8,2,Navigate,64.03488,10,80,2.5,15:29:19:543,105,71.10006,11.46595,-7.065178,15:29:26:377,Hit
8,2,Correction,0,0,0,0,15:29:26:377,0,0,0,0,15:29:30:343,3
9,0,Interval,0,0,0,0,15:29:30:375,0,0,0,0,15:29:33:376,None
9,0,Encode,0,0,0,0,15:29:33:380,0,0,0,0,15:29:38:392,None
9,0,Navigate,42.03644,8,0,2.5,15:29:38:392,0,54.33995,15.26191,-12.30352,15:29:44:867,Miss
9,0,Correction,0,0,0,0,15:29:44:867,0,0,0,0,15:29:48:874,3
10,1,Interval,0,0,0,0,15:29:48:906,0,0,0,0,15:29:51:906,None
10,1,Encode,0,0,0,0,15:29:51:910,0,0,0,0,15:29:56:942,None
10,1,Navigate,43.03674,3,80,2.5,15:29:56:942,80,34.41996,12.4819,8.616772,15:30:7:545,Hit
10,1,Correction,0,0,0,0,15:30:7:545,0,0,0,0,15:30:11:509,4
11,0,Interval,0,0,0,0,15:30:11:540,0,0,0,0,15:30:14:555,None
11,0,Encode,0,0,0,0,15:30:14:558,0,0,0,0,15:30:19:574,None
11,0,Navigate,77.0349,9,0,2.5,15:30:19:574,0,91.60014,17.13759,-14.56523,15:30:29:443,Miss
11,0,Correction,0,0,0,0,15:30:29:443,0,0,0,0,15:30:33:440,4
12,0,Interval,0,0,0,0,15:30:33:473,0,0,0,0,15:30:36:488,None
12,0,Encode,0,0,0,0,15:30:36:491,0,0,0,0,15:30:41:508,None
12,0,Navigate,31.03484,4,0,2.5,15:30:41:508,0,31.45997,9.040563,-0.4251347,15:30:48:744,Hit
12,0,Correction,0,0,0,0,15:30:48:744,0,0,0,0,15:30:52:711,5
13,1,Interval,0,0,0,0,15:30:52:720,0,0,0,0,15:30:55:721,None
13,1,Encode,0,0,0,0,15:30:55:725,0,0,0,0,15:31:0:731,None
13,1,Navigate,33.03575,10,80,2.5,15:31:0:731,80,29.70004,9.626866,3.335711,15:31:3:425,Hit
13,1,Correction,0,0,0,0,15:31:3:425,0,0,0,0,15:31:7:424,6
14,2,Interval,0,0,0,0,15:31:7:455,0,0,0,0,15:31:10:471,None
14,2,Encode,0,0,0,0,15:31:10:474,0,0,0,0,15:31:15:507,None
14,2,Navigate,51.03679,11,80,2.5,15:31:15:507,101,68.72015,19.85574,-17.68337,15:31:21:492,Miss
14,2,Correction,0,0,0,0,15:31:21:492,0,0,0,0,15:31:25:488,6
15,0,Interval,0,0,0,0,15:31:25:523,0,0,0,0,15:31:28:537,None
15,0,Encode,0,0,0,0,15:31:28:540,0,0,0,0,15:31:33:557,None
15,0,Navigate,31.03478,9,0,2.5,15:31:33:557,0,28.42003,9.40148,2.614752,15:31:36:424,Hit
15,0,Correction,0,0,0,0,15:31:36:424,0,0,0,0,15:31:40:424,7
16,2,Interval,0,0,0,0,15:31:40:455,0,0,0,0,15:31:43:455,None
16,2,Encode,0,0,0,0,15:31:43:458,0,0,0,0,15:31:48:490,None
16,2,Navigate,68.03687,4,80,2.5,15:31:48:490,97,54.74049,16.07303,13.29637,15:32:1:524,Miss
16,2,Correction,0,0,0,0,15:32:1:524,0,0,0,0,15:32:5:522,7
17,2,Interval,0,0,0,0,15:32:5:554,0,0,0,0,15:32:8:553,None
17,2,Encode,0,0,0,0,15:32:8:557,0,0,0,0,15:32:13:556,None
17,2,Navigate,48.03279,3,80,2.5,15:32:13:556,64,37.84004,13.61781,10.19275,15:32:25:324,Miss
17,2,Correction,0,0,0,0,15:32:25:324,0,0,0,0,15:32:29:322,7
18,0,Interval,0,0,0,0,15:32:29:354,0,0,0,0,15:32:32:386,None
18,0,Encode,0,0,0,0,15:32:32:389,0,0,0,0,15:32:37:422,None
18,0,Navigate,37.0368,11,0,2.5,15:32:37:422,0,29.55996,11.724,7.476833,15:32:39:856,Hit
18,0,Correction,0,0,0,0,15:32:39:857,0,0,0,0,15:32:43:856,8
19,1,Interval,0,0,0,0,15:32:43:886,0,0,0,0,15:32:46:887,None
19,1,Encode,0,0,0,0,15:32:46:889,0,0,0,0,15:32:51:889,None
19,1,Navigate,39.03484,5,80,2.5,15:32:51:889,80,45.29988,10.99095,-6.265038,15:33:0:440,Hit
19,1,Correction,0,0,0,0,15:33:0:440,0,0,0,0,15:33:4:405,9
20,0,Interval,0,0,0,0,15:33:4:437,0,0,0,0,15:33:7:453,None
20,0,Encode,0,0,0,0,15:33:7:455,0,0,0,0,15:33:12:487,None
20,0,Navigate,73.03677,10,0,2.5,15:33:12:487,0,71.30006,9.195939,1.736717,15:33:19:339,Hit
20,0,Correction,0,0,0,0,15:33:19:339,0,0,0,0,15:33:23:338,10
21,2,Interval,0,0,0,0,15:33:23:369,0,0,0,0,15:33:26:385,None
21,2,Encode,0,0,0,0,15:33:26:388,0,0,0,0,15:33:31:405,None
21,2,Navigate,74.03505,5,80,2.5,15:33:31:405,92,80.59934,11.16427,-6.564293,15:33:47:6,Hit
21,2,Correction,0,0,0,0,15:33:47:6,0,0,0,0,15:33:51:4,11
22,2,Interval,0,0,0,0,15:33:51:36,0,0,0,0,15:33:54:36,None
22,2,Encode,0,0,0,0,15:33:54:40,0,0,0,0,15:33:59:37,None
22,2,Navigate,71.03468,3,80,2.5,15:33:59:37,85,46.24023,26.38781,24.79445,15:34:13:606,Miss
22,2,Correction,0,0,0,0,15:34:13:606,0,0,0,0,15:34:17:602,11
23,1,Interval,0,0,0,0,15:34:17:635,0,0,0,0,15:34:20:668,None
23,1,Encode,0,0,0,0,15:34:20:672,0,0,0,0,15:34:25:687,None
23,1,Navigate,54.03476,8,80,2.5,15:34:25:687,80,48.09996,10.80616,5.934799,15:34:31:372,Hit
23,1,Correction,0,0,0,0,15:34:31:372,0,0,0,0,15:34:35:370,12
24,0,Interval,0,0,0,0,15:34:35:402,0,0,0,0,15:34:38:404,None
24,0,Encode,0,0,0,0,15:34:38:408,0,0,0,0,15:34:43:420,None
24,0,Navigate,61.03642,6,0,2.5,15:34:43:420,0,56.61988,10.05262,4.416542,15:34:52:422,Hit
24,0,Correction,0,0,0,0,15:34:52:422,0,0,0,0,15:34:56:420,13
25,1,Interval,0,0,0,0,15:34:56:451,0,0,0,0,15:34:59:451,None
25,1,Encode,0,0,0,0,15:34:59:454,0,0,0,0,15:35:4:470,None
25,1,Navigate,49.03475,5,80,2.5,15:35:4:471,80,49.89981,9.071942,-0.8650627,15:35:13:937,Hit
25,1,Correction,0,0,0,0,15:35:13:938,0,0,0,0,15:35:17:936,14
26,1,Interval,0,0,0,0,15:35:17:967,0,0,0,0,15:35:20:967,None
26,1,Encode,0,0,0,0,15:35:20:971,0,0,0,0,15:35:26:2,None
