Subject ID: sub07_2 , Experiment Time: 2020-12-18T13:02:58
Trial,Condition,Stage,TargetPos,CarSpeed,LandmarkPos1,StartPos,StartTime,LandmarkPos2,StopPos,AbsoluteErrorDis,RelativeErrorDis,EndTime,Insinght
1,0,Interval,0,0,0,0,13:3:16:582,0,0,0,0,13:3:19:206,None
1,0,Encode,0,0,0,0,13:3:19:208,0,0,0,0,13:3:24:211,None
1,0,Navigate,46.03986,3,0,2.5,13:3:24:213,0,29.25993,19.05549,16.77992,13:3:33:117,Miss
1,0,Correction,0,0,0,0,13:3:33:117,0,0,0,0,13:3:37:112,0
2,1,Interval,0,0,0,0,13:3:37:145,0,0,0,0,13:3:40:147,None
2,1,Encode,0,0,0,0,13:3:40:151,0,0,0,0,13:3:45:164,None
2,1,Navigate,66.03459,6,80,2.5,13:3:45:164,80,47.61996,20.50975,18.41463,13:3:52:666,Miss
2,1,Correction,0,0,0,0,13:3:52:666,0,0,0,0,13:3:56:662,0
3,1,Interval,0,0,0,0,13:3:56:697,0,0,0,0,13:3:59:698,None
3,1,Encode,0,0,0,0,13:3:59:703,0,0,0,0,13:4:4:713,None
3,1,Navigate,30.03432,8,80,2.5,13:4:4:713,80,35.77997,10.70346,-5.745651,13:4:8:864,Hit
3,1,Correction,0,0,0,0,13:4:8:865,0,0,0,0,13:4:12:863,1
4,1,Interval,0,0,0,0,13:4:12:894,0,0,0,0,13:4:15:912,None
4,1,Encode,0,0,0,0,13:4:15:916,0,0,0,0,13:4:20:945,None
4,1,Navigate,44.03633,8,80,2.5,13:4:20:945,80,42.33997,9.188382,1.696369,13:4:25:882,Hit
4,1,Correction,0,0,0,0,13:4:25:882,0,0,0,0,13:4:29:847,2
5,2,Interval,0,0,0,0,13:4:29:878,0,0,0,0,13:4:32:892,None
5,2,Encode,0,0,0,0,13:4:32:896,0,0,0,0,13:4:37:913,None
5,2,Navigate,68.035,3,80,2.5,13:4:37:913,56,55.18044,15.70956,12.85456,13:4:55:463,Miss
5,2,Correction,0,0,0,0,13:4:55:463,0,0,0,0,13:4:59:461,2
6,1,Interval,0,0,0,0,13:4:59:493,0,0,0,0,13:5:2:523,None
6,1,Encode,0,0,0,0,13:5:2:526,0,0,0,0,13:5:7:545,None
6,1,Navigate,54.03515,11,80,2.5,13:5:7:546,80,44.08002,13.44081,9.955132,13:5:11:298,Miss
6,1,Correction,0,0,0,0,13:5:11:298,0,0,0,0,13:5:15:295,2
7,1,Interval,0,0,0,0,13:5:15:327,0,0,0,0,13:5:18:359,None
7,1,Encode,0,0,0,0,13:5:18:362,0,0,0,0,13:5:23:379,None
7,1,Navigate,40.03492,11,80,2.5,13:5:23:379,80,42.98001,9.498653,-2.945095,13:5:27:48,Hit
7,1,Correction,0,0,0,0,13:5:27:48,0,0,0,0,13:5:31:46,3
8,0,Interval,0,0,0,0,13:5:31:77,0,0,0,0,13:5:34:91,None
8,0,Encode,0,0,0,0,13:5:34:94,0,0,0,0,13:5:39:129,None
8,0,Navigate,48.0368,9,0,2.5,13:5:39:129,0,66.76009,20.78728,-18.7233,13:5:46:229,Miss
8,0,Correction,0,0,0,0,13:5:46:229,0,0,0,0,13:5:50:226,3
9,2,Interval,0,0,0,0,13:5:50:259,0,0,0,0,13:5:53:291,None
9,2,Encode,0,0,0,0,13:5:53:295,0,0,0,0,13:5:58:311,None
9,2,Navigate,42.03481,11,80,2.5,13:5:58:311,105,55.74009,16.41298,-13.70528,13:6:3:131,Miss
9,2,Correction,0,0,0,0,13:6:3:131,0,0,0,0,13:6:7:126,3
10,2,Interval,0,0,0,0,13:6:7:159,0,0,0,0,13:6:10:191,None
10,2,Encode,0,0,0,0,13:6:10:194,0,0,0,0,13:6:15:211,None
10,2,Navigate,31.03493,6,80,2.5,13:6:15:211,66,34.06008,9.523775,-3.02515,13:6:20:446,Hit
10,2,Correction,0,0,0,0,13:6:20:446,0,0,0,0,13:6:24:411,4
11,1,Interval,0,0,0,0,13:6:24:442,0,0,0,0,13:6:27:441,None
11,1,Encode,0,0,0,0,13:6:27:446,0,0,0,0,13:6:32:478,None
11,1,Navigate,64.03667,3,80,2.5,13:6:32:478,80,54.64043,13.03222,9.396248,13:6:49:830,Hit
11,1,Correction,0,0,0,0,13:6:49:830,0,0,0,0,13:6:53:827,5
12,1,Interval,0,0,0,0,13:6:53:857,0,0,0,0,13:6:56:891,None
12,1,Encode,0,0,0,0,13:6:56:894,0,0,0,0,13:7:1:913,None
