Subject ID: sub24_3 , Experiment Time: 2021-01-12T15:48:55
Trial,Condition,Stage,TargetPos,CarSpeed,LandmarkPos1,StartPos,StartTime,LandmarkPos2,StopPos,AbsoluteErrorDis,RelativeErrorDis,EndTime,Insinght
1,1,Interval,0,0,0,0,15:49:10:192,0,0,0,0,15:49:12:823,None
1,1,Encode,0,0,0,0,15:49:12:825,0,0,0,0,15:49:17:853,None
1,1,Navigate,61.03912,5,80,2.5,15:49:17:855,80,35.70003,26.90013,25.3391,15:49:24:470,Miss
1,1,Correction,0,0,0,0,15:49:24:470,0,0,0,0,15:49:28:464,0
2,1,Interval,0,0,0,0,15:49:28:496,0,0,0,0,15:49:31:496,None
2,1,Encode,0,0,0,0,15:49:31:500,0,0,0,0,15:49:36:516,None
2,1,Navigate,43.0369,3,80,2.5,15:49:36:516,80,29.91993,15.92496,13.11697,15:49:45:633,Miss
2,1,Correction,0,0,0,0,15:49:45:634,0,0,0,0,15:49:49:629,0
3,1,Interval,0,0,0,0,15:49:49:662,0,0,0,0,15:49:52:663,None
3,1,Encode,0,0,0,0,15:49:52:666,0,0,0,0,15:49:57:682,None
3,1,Navigate,57.03687,8,80,2.5,15:49:57:682,80,54.81995,9.2986,2.216915,15:50:4:216,Hit
3,1,Correction,0,0,0,0,15:50:4:216,0,0,0,0,15:50:8:215,1
4,1,Interval,0,0,0,0,15:50:8:246,0,0,0,0,15:50:11:246,None
4,1,Encode,0,0,0,0,15:50:11:249,0,0,0,0,15:50:16:249,None
4,1,Navigate,46.03283,6,80,2.5,15:50:16:250,80,45.45998,9.048803,0.5728455,15:50:23:399,Hit
4,1,Correction,0,0,0,0,15:50:23:400,0,0,0,0,15:50:27:365,2
5,2,Interval,0,0,0,0,15:50:27:395,0,0,0,0,15:50:30:411,None
5,2,Encode,0,0,0,0,15:50:30:415,0,0,0,0,15:50:35:431,None
5,2,Navigate,31.03689,5,80,2.5,15:50:35:431,69,24.30006,11.2665,6.73683,15:50:39:765,Hit
5,2,Correction,0,0,0,0,15:50:39:766,0,0,0,0,15:50:43:765,3
6,1,Interval,0,0,0,0,15:50:43:796,0,0,0,0,15:50:46:797,None
6,1,Encode,0,0,0,0,15:50:46:800,0,0,0,0,15:50:51:830,None
6,1,Navigate,33.03683,3,80,2.5,15:50:51:830,80,32.85993,9.032214,0.1769028,15:51:1:915,Hit
6,1,Correction,0,0,0,0,15:51:1:915,0,0,0,0,15:51:5:913,4
7,0,Interval,0,0,0,0,15:51:5:944,0,0,0,0,15:51:8:944,None
