Subject ID: sub15_2 , Experiment Time: 2020-12-24T14:10:02
Trial,Condition,Stage,TargetPos,CarSpeed,LandmarkPos1,StartPos,StartTime,LandmarkPos2,StopPos,AbsoluteErrorDis,RelativeErrorDis,EndTime,Insinght
1,0,Interval,0,0,0,0,14:10:16:226,0,0,0,0,14:10:18:901,None
1,0,Encode,0,0,0,0,14:10:18:903,0,0,0,0,14:10:23:933,None
1,0,Navigate,49.04149,3,0,2.5,14:10:23:934,0,55.12044,10.88566,-6.078949,14:10:41:455,Hit
1,0,Correction,0,0,0,0,14:10:41:455,0,0,0,0,14:10:45:452,1
2,1,Interval,0,0,0,0,14:10:45:483,0,0,0,0,14:10:48:515,None
2,1,Encode,0,0,0,0,14:10:48:518,0,0,0,0,14:10:53:535,None
2,1,Navigate,57.03488,10,80,2.5,14:10:53:535,80,45.1001,14.96629,11.93478,14:10:57:771,Miss
2,1,Correction,0,0,0,0,14:10:57:771,0,0,0,0,14:11:1:767,1
3,1,Interval,0,0,0,0,14:11:1:798,0,0,0,0,14:11:4:831,None
3,1,Encode,0,0,0,0,14:11:4:834,0,0,0,0,14:11:9:850,None
3,1,Navigate,31.03484,6,80,2.5,14:11:9:850,80,26.86006,9.948847,4.17478,14:11:13:885,Hit
3,1,Correction,0,0,0,0,14:11:13:885,0,0,0,0,14:11:17:884,2
4,0,Interval,0,0,0,0,14:11:17:916,0,0,0,0,14:11:20:915,None
4,0,Encode,0,0,0,0,14:11:20:918,0,0,0,0,14:11:25:933,None
4,0,Navigate,51.03473,4,0,2.5,14:11:25:933,0,68.1808,19.37884,-17.14608,14:11:42:334,Miss
4,0,Correction,0,0,0,0,14:11:42:334,0,0,0,0,14:11:46:332,2
5,0,Interval,0,0,0,0,14:11:46:365,0,0,0,0,14:11:49:395,None
5,0,Encode,0,0,0,0,14:11:49:399,0,0,0,0,14:11:54:432,None
5,0,Navigate,44.03703,11,0,2.5,14:11:54:432,0,67.84015,25.45855,-23.80312,14:12:0:334,Miss
5,0,Correction,0,0,0,0,14:12:0:334,0,0,0,0,14:12:4:331,2
6,2,Interval,0,0,0,0,14:12:4:364,0,0,0,0,14:12:7:396,None
6,2,Encode,0,0,0,0,14:12:7:400,0,0,0,0,14:12:12:416,None
6,2,Navigate,46.03485,11,80,2.5,14:12:12:416,83,74.44019,29.80628,-28.40534,14:12:18:951,Miss
6,2,Correction,0,0,0,0,14:12:18:951,0,0,0,0,14:12:22:948,2
7,1,Interval,0,0,0,0,14:12:22:981,0,0,0,0,14:12:26:13,None
7,1,Encode,0,0,0,0,14:12:26:17,0,0,0,0,14:12:31:32,None
7,1,Navigate,33.03489,8,80,2.5,14:12:31:33,80,33.85997,9.068179,-0.8250809,14:12:34:934,Hit
7,1,Correction,0,0,0,0,14:12:34:934,0,0,0,0,14:12:38:933,3
8,1,Interval,0,0,0,0,14:12:38:964,0,0,0,0,14:12:41:963,None
8,1,Encode,0,0,0,0,14:12:41:967,0,0,0,0,14:12:46:999,None
8,1,Navigate,79.03695,3,80,2.5,14:12:46:999,80,78.52005,9.045237,0.5168991,14:13:12:300,Hit
8,1,Correction,0,0,0,0,14:13:12:300,0,0,0,0,14:13:16:299,4
9,1,Interval,0,0,0,0,14:13:16:330,0,0,0,0,14:13:19:362,None
9,1,Encode,0,0,0,0,14:13:19:365,0,0,0,0,14:13:24:382,None
9,1,Navigate,45.03486,6,80,2.5,14:13:24:382,80,35.02007,13.48508,10.01479,14:13:29:782,Miss
9,1,Correction,0,0,0,0,14:13:29:783,0,0,0,0,14:13:33:781,4
10,1,Interval,0,0,0,0,14:13:33:813,0,0,0,0,14:13:36:845,None
10,1,Encode,0,0,0,0,14:13:36:848,0,0,0,0,14:13:41:865,None
10,1,Navigate,70.03489,6,80,2.5,14:13:41:865,80,65.37984,10.15975,4.655045,14:13:52:332,Hit
10,1,Correction,0,0,0,0,14:13:52:332,0,0,0,0,14:13:56:298,5
11,2,Interval,0,0,0,0,14:13:56:329,0,0,0,0,14:13:59:361,None
11,2,Encode,0,0,0,0,14:13:59:364,0,0,0,0,14:14:4:380,None
11,2,Navigate,61.0349,3,80,2.5,14:14:4:380,97,67.66049,11.20041,-6.625595,14:14:26:82,Hit
11,2,Correction,0,0,0,0,14:14:26:82,0,0,0,0,14:14:30:81,6
12,0,Interval,0,0,0,0,14:14:30:112,0,0,0,0,14:14:33:144,None
12,0,Encode,0,0,0,0,14:14:33:147,0,0,0,0,14:14:38:146,None
12,0,Navigate,71.03284,5,0,2.5,14:14:38:146,0,98.59907,29.00776,-27.56623,14:14:57:348,Miss
12,0,Correction,0,0,0,0,14:14:57:348,0,0,0,0,14:15:1:345,6
13,0,Interval,0,0,0,0,14:15:1:378,0,0,0,0,14:15:4:378,None
13,0,Encode,0,0,0,0,14:15:4:381,0,0,0,0,14:15:9:396,None
13,0,Navigate,51.03683,3,0,2.5,14:15:9:396,0,56.44047,10.52372,-5.403637,14:15:27:364,Hit
13,0,Correction,0,0,0,0,14:15:27:364,0,0,0,0,14:15:31:330,7
14,0,Interval,0,0,0,0,14:15:31:361,0,0,0,0,14:15:34:393,None
14,0,Encode,0,0,0,0,14:15:34:396,0,0,0,0,14:15:39:428,None
14,0,Navigate,77.03666,8,0,2.5,14:15:39:428,0,100.1008,24.76899,-23.06411,14:15:51:596,Miss
14,0,Correction,0,0,0,0,14:15:51:596,0,0,0,0,14:15:55:594,7
15,2,Interval,0,0,0,0,14:15:55:627,0,0,0,0,14:15:58:626,None
15,2,Encode,0,0,0,0,14:15:58:630,0,0,0,0,14:16:3:647,None
15,2,Navigate,39.03687,4,80,2.5,14:16:3:647,83,32.41998,11.19519,6.616882,14:16:11:113,Hit
15,2,Correction,0,0,0,0,14:16:11:113,0,0,0,0,14:16:15:113,8
16,2,Interval,0,0,0,0,14:16:15:144,0,0,0,0,14:16:18:176,None
16,2,Encode,0,0,0,0,14:16:18:178,0,0,0,0,14:16:23:195,None
16,2,Navigate,51.03484,9,80,2.5,14:16:23:195,51,74.14011,24.80734,-23.10526,14:16:31:130,Miss
16,2,Correction,0,0,0,0,14:16:31:130,0,0,0,0,14:16:35:127,8
17,1,Interval,0,0,0,0,14:16:35:160,0,0,0,0,14:16:38:192,None
17,1,Encode,0,0,0,0,14:16:38:195,0,0,0,0,14:16:43:212,None
17,1,Navigate,30.03482,11,80,2.5,14:16:43:212,80,24.49998,10.59176,5.534842,14:16:45:179,Hit
17,1,Correction,0,0,0,0,14:16:45:179,0,0,0,0,14:16:49:145,9
18,2,Interval,0,0,0,0,14:16:49:176,0,0,0,0,14:16:52:208,None
18,2,Encode,0,0,0,0,14:16:52:211,0,0,0,0,14:16:57:260,None
18,2,Navigate,31.03859,5,80,2.5,14:16:57:260,76,37.6,11.1624,-6.561409,14:17:4:229,Hit
18,2,Correction,0,0,0,0,14:17:4:229,0,0,0,0,14:17:8:228,10
19,1,Interval,0,0,0,0,14:17:8:259,0,0,0,0,14:17:11:258,None
19,1,Encode,0,0,0,0,14:17:11:262,0,0,0,0,14:17:16:293,None
