Subject ID: sub21_1 , Experiment Time: 2021-01-11T13:55:37
Trial,Condition,Stage,TargetPos,CarSpeed,LandmarkPos1,StartPos,StartTime,LandmarkPos2,StopPos,AbsoluteErrorDis,RelativeErrorDis,EndTime,Insinght
1,0,Interval,0,0,0,0,13:55:52:641,0,0,0,0,13:55:55:288,None
1,0,Encode,0,0,0,0,13:55:55:289,0,0,0,0,13:56:0:313,None
1,0,Navigate,77.03986,10,0,2.5,13:56:0:313,0,64.90015,15.13005,12.1397,13:56:6:529,Miss
1,0,Correction,0,0,0,0,13:56:6:530,0,0,0,0,13:56:10:526,0
2,1,Interval,0,0,0,0,13:56:10:557,0,0,0,0,13:56:13:558,None
2,1,Encode,0,0,0,0,13:56:13:562,0,0,0,0,13:56:18:576,None
2,1,Navigate,30.03677,8,80,2.5,13:56:18:576,80,28.89998,9.101752,1.136795,13:56:21:845,Hit
2,1,Correction,0,0,0,0,13:56:21:845,0,0,0,0,13:56:25:844,1
3,1,Interval,0,0,0,0,13:56:25:874,0,0,0,0,13:56:28:906,None
3,1,Encode,0,0,0,0,13:56:28:910,0,0,0,0,13:56:33:959,None
3,1,Navigate,54.03863,8,80,2.5,13:56:33:959,80,39.13997,17.42174,14.89866,13:56:38:494,Miss
3,1,Correction,0,0,0,0,13:56:38:494,0,0,0,0,13:56:42:491,1
4,2,Interval,0,0,0,0,13:56:42:525,0,0,0,0,13:56:45:524,None
4,2,Encode,0,0,0,0,13:56:45:528,0,0,0,0,13:56:50:543,None
4,2,Navigate,40.03682,8,80,2.5,13:56:50:543,67,20.25999,21.74102,19.77683,13:56:52:744,Miss
4,2,Correction,0,0,0,0,13:56:52:744,0,0,0,0,13:56:56:741,1
5,1,Interval,0,0,0,0,13:56:56:775,0,0,0,0,13:56:59:789,None
5,1,Encode,0,0,0,0,13:56:59:793,0,0,0,0,13:57:4:809,None
5,1,Navigate,73.035,11,80,2.5,13:57:4:809,80,54.86008,20.29481,18.17492,13:57:9:544,Miss
5,1,Correction,0,0,0,0,13:57:9:544,0,0,0,0,13:57:13:541,1
6,1,Interval,0,0,0,0,13:57:13:574,0,0,0,0,13:57:16:575,None
6,1,Encode,0,0,0,0,13:57:16:577,0,0,0,0,13:57:21:608,None
6,1,Navigate,37.03852,5,80,2.5,13:57:21:608,80,27.10007,13.42835,9.938454,13:57:26:510,Hit
6,1,Correction,0,0,0,0,13:57:26:510,0,0,0,0,13:57:30:509,2
7,2,Interval,0,0,0,0,13:57:30:539,0,0,0,0,13:57:33:540,None
7,2,Encode,0,0,0,0,13:57:33:543,0,0,0,0,13:57:38:558,None
7,2,Navigate,57.03688,9,80,2.5,13:57:38:558,47,57.04008,9.030443,-0.003192902,13:57:44:593,Hit
7,2,Correction,0,0,0,0,13:57:44:593,0,0,0,0,13:57:48:558,3
8,2,Interval,0,0,0,0,13:57:48:589,0,0,0,0,13:57:51:621,None
8,2,Encode,0,0,0,0,13:57:51:625,0,0,0,0,13:57:56:642,None
8,2,Navigate,31.03482,11,80,2.5,13:57:56:642,105,26.47997,10.11421,4.55485,13:57:58:808,Hit
8,2,Correction,0,0,0,0,13:57:58:808,0,0,0,0,13:58:2:775,4
9,1,Interval,0,0,0,0,13:58:2:805,0,0,0,0,13:58:5:805,None
9,1,Encode,0,0,0,0,13:58:5:809,0,0,0,0,13:58:10:824,None
9,1,Navigate,44.03675,3,80,2.5,13:58:10:824,80,41.56013,9.363908,2.476624,13:58:23:825,Hit
9,1,Correction,0,0,0,0,13:58:23:825,0,0,0,0,13:58:27:825,5
10,2,Interval,0,0,0,0,13:58:27:855,0,0,0,0,13:58:30:888,None
10,2,Encode,0,0,0,0,13:58:30:891,0,0,0,0,13:58:35:906,None
10,2,Navigate,71.03489,6,80,2.5,13:58:35:906,44,76.6601,10.63925,-5.625214,13:58:48:242,Hit
10,2,Correction,0,0,0,0,13:58:48:242,0,0,0,0,13:58:52:241,6
11,0,Interval,0,0,0,0,13:58:52:272,0,0,0,0,13:58:55:271,None
11,0,Encode,0,0,0,0,13:58:55:275,0,0,0,0,13:59:0:290,None
11,0,Navigate,51.03684,8,0,2.5,13:59:0:290,0,37.37997,16.37252,13.65687,13:59:4:624,Miss
11,0,Correction,0,0,0,0,13:59:4:624,0,0,0,0,13:59:8:622,6
12,0,Interval,0,0,0,0,13:59:8:654,0,0,0,0,13:59:11:654,None
12,0,Encode,0,0,0,0,13:59:11:658,0,0,0,0,13:59:16:673,None
12,0,Navigate,33.03672,9,0,2.5,13:59:16:673,0,22.48002,13.89221,10.5567,13:59:18:874,Miss
12,0,Correction,0,0,0,0,13:59:18:874,0,0,0,0,13:59:22:873,6
13,0,Interval,0,0,0,0,13:59:22:904,0,0,0,0,13:59:25:936,None
13,0,Encode,0,0,0,0,13:59:25:939,0,0,0,0,13:59:30:972,None
13,0,Navigate,48.03674,3,0,2.5,13:59:30:972,0,41.20012,11.32646,6.836624,13:59:43:842,Hit
13,0,Correction,0,0,0,0,13:59:43:842,0,0,0,0,13:59:47:840,7
14,0,Interval,0,0,0,0,13:59:47:871,0,0,0,0,13:59:50:886,None
14,0,Encode,0,0,0,0,13:59:50:890,0,0,0,0,13:59:55:905,None
14,0,Navigate,64.03677,5,0,2.5,13:59:55:906,0,62.09962,9.235877,1.937141,14:0:7:807,Hit
14,0,Correction,0,0,0,0,14:0:7:807,0,0,0,0,14:0:11:773,8
15,1,Interval,0,0,0,0,14:0:11:804,0,0,0,0,14:0:14:835,None
15,1,Encode,0,0,0,0,14:0:14:839,0,0,0,0,14:0:19:871,None
15,1,Navigate,42.0368,3,80,2.5,14:0:19:871,80,33.51994,12.41314,8.516861,14:0:30:173,Hit
15,1,Correction,0,0,0,0,14:0:30:173,0,0,0,0,14:0:34:172,9
16,0,Interval,0,0,0,0,14:0:34:203,0,0,0,0,14:0:37:236,None
16,0,Encode,0,0,0,0,14:0:37:239,0,0,0,0,14:0:42:271,None
16,0,Navigate,31.03665,4,0,2.5,14:0:42:271,0,28.97997,9.261697,2.056675,14:0:48:858,Hit
16,0,Correction,0,0,0,0,14:0:48:858,0,0,0,0,14:0:52:839,10
17,1,Interval,0,0,0,0,14:0:52:869,0,0,0,0,14:0:55:869,None
17,1,Encode,0,0,0,0,14:0:55:872,0,0,0,0,14:1:0:889,None
17,1,Navigate,70.0369,5,80,2.5,14:1:0:889,80,46.19987,25.49025,23.83703,14:1:9:606,Miss
17,1,Correction,0,0,0,0,14:1:9:606,0,0,0,0,14:1:13:602,10
18,2,Interval,0,0,0,0,14:1:13:635,0,0,0,0,14:1:16:635,None
18,2,Encode,0,0,0,0,14:1:16:638,0,0,0,0,14:1:21:654,None
18,2,Navigate,45.03683,8,80,2.5,14:1:21:654,99,30.65998,16.97772,14.37685,14:1:25:156,Miss
18,2,Correction,0,0,0,0,14:1:25:156,0,0,0,0,14:1:29:152,10
19,2,Interval,0,0,0,0,14:1:29:186,0,0,0,0,14:1:32:186,None
19,2,Encode,0,0,0,0,14:1:32:189,0,0,0,0,14:1:37:204,None
19,2,Navigate,66.03467,10,80,2.5,14:1:37:204,96,56.10014,13.42557,9.934528,14:1:42:544,Hit
19,2,Correction,0,0,0,0,14:1:42:544,0,0,0,0,14:1:46:542,11
20,0,Interval,0,0,0,0,14:1:46:571,0,0,0,0,14:1:49:586,None
20,0,Encode,0,0,0,0,14:1:49:596,0,0,0,0,14:1:54:607,None
20,0,Navigate,51.037,11,0,2.5,14:1:54:607,0,58.8201,11.92163,-7.783104,14:1:59:705,Hit
20,0,Correction,0,0,0,0,14:1:59:705,0,0,0,0,14:2:3:671,12
21,1,Interval,0,0,0,0,14:2:3:702,0,0,0,0,14:2:6:718,None
21,1,Encode,0,0,0,0,14:2:6:722,0,0,0,0,14:2:11:755,None
21,1,Navigate,39.03857,6,80,2.5,14:2:11:755,80,25.78006,16.04167,13.25851,14:2:15:605,Miss
21,1,Correction,0,0,0,0,14:2:15:605,0,0,0,0,14:2:19:585,12
22,0,Interval,0,0,0,0,14:2:19:618,0,0,0,0,14:2:22:634,None
22,0,Encode,0,0,0,0,14:2:22:638,0,0,0,0,14:2:27:654,None
22,0,Navigate,51.03665,3,0,2.5,14:2:27:654,0,40.4801,13.89208,10.55655,14:2:40:304,Miss
22,0,Correction,0,0,0,0,14:2:40:304,0,0,0,0,14:2:44:302,12
23,2,Interval,0,0,0,0,14:2:44:334,0,0,0,0,14:2:47:335,None
23,2,Encode,0,0,0,0,14:2:47:339,0,0,0,0,14:2:52:368,None
23,2,Navigate,34.03666,5,80,2.5,14:2:52:368,116,26.70007,11.63508,7.336594,14:2:57:171,Hit
23,2,Correction,0,0,0,0,14:2:57:171,0,0,0,0,14:3:1:136,13
