Subject ID: sub99_03 , Experiment Time: 2020-12-18T14:30:56
Trial,Condition,Stage,TargetPos,CarSpeed,LandmarkPos1,StartPos,StartTime,LandmarkPos2,StopPos,AbsoluteErrorDis,RelativeErrorDis,EndTime,Insinght
1,1,Interval,0,0,0,0,14:31:11:570,0,0,0,0,14:31:14:225,None
1,1,Encode,0,0,0,0,14:31:14:228,0,0,0,0,14:31:19:239,None
1,1,Navigate,77.03707,6,80,2.5,14:31:19:241,80,72.58001,10.07046,4.457062,14:31:30:904,Hit
1,1,Correction,0,0,0,0,14:31:30:904,0,0,0,0,14:31:34:901,1
2,2,Interval,0,0,0,0,14:31:34:932,0,0,0,0,14:31:37:964,None
2,2,Encode,0,0,0,0,14:31:37:967,0,0,0,0,14:31:42:984,None
2,2,Navigate,68.03478,3,80,2.5,14:31:42:984,93,47.08025,22.8176,20.95453,14:31:57:818,Miss
2,2,Correction,0,0,0,0,14:31:57:818,0,0,0,0,14:32:1:814,1
3,2,Interval,0,0,0,0,14:32:1:847,0,0,0,0,14:32:4:879,None
3,2,Encode,0,0,0,0,14:32:4:883,0,0,0,0,14:32:9:900,None
3,2,Navigate,61.03487,5,80,2.5,14:32:9:900,107,51.19979,13.35216,9.835075,14:32:19:634,Hit
3,2,Correction,0,0,0,0,14:32:19:634,0,0,0,0,14:32:23:632,2
4,2,Interval,0,0,0,0,14:32:23:664,0,0,0,0,14:32:26:696,None
4,2,Encode,0,0,0,0,14:32:26:699,0,0,0,0,14:32:31:715,None
4,2,Navigate,51.03487,8,80,2.5,14:32:31:715,58,61.37995,13.73214,-10.34508,14:32:39:50,Miss
4,2,Correction,0,0,0,0,14:32:39:50,0,0,0,0,14:32:43:50,2
5,0,Interval,0,0,0,0,14:32:43:80,0,0,0,0,14:32:46:80,None
5,0,Encode,0,0,0,0,14:32:46:83,0,0,0,0,14:32:51:115,None
5,0,Navigate,30.03671,8,0,2.5,14:32:51:115,0,30.81998,9.064379,-0.7832623,14:32:54:617,Hit
5,0,Correction,0,0,0,0,14:32:54:617,0,0,0,0,14:32:58:583,3
6,0,Interval,0,0,0,0,14:32:58:613,0,0,0,0,14:33:1:645,None
6,0,Encode,0,0,0,0,14:33:1:649,0,0,0,0,14:33:6:681,None
6,0,Navigate,37.0368,6,0,2.5,14:33:6:681,0,51.93992,17.42563,-14.90312,14:33:14:883,Miss
6,0,Correction,0,0,0,0,14:33:14:883,0,0,0,0,14:33:18:880,3
7,2,Interval,0,0,0,0,14:33:18:913,0,0,0,0,14:33:21:945,None
7,2,Encode,0,0,0,0,14:33:21:948,0,0,0,0,14:33:26:964,None
7,2,Navigate,45.03474,5,80,2.5,14:33:26:964,54,53.39976,12.30956,-8.365021,14:33:37:132,Hit
7,2,Correction,0,0,0,0,14:33:37:132,0,0,0,0,14:33:41:98,4
8,2,Interval,0,0,0,0,14:33:41:129,0,0,0,0,14:33:44:161,None
8,2,Encode,0,0,0,0,14:33:44:165,0,0,0,0,14:33:49:181,None
8,2,Navigate,54.03491,3,80,2.5,14:33:49:181,100,65.0806,14.26737,-11.04569,14:34:10:16,Miss
8,2,Correction,0,0,0,0,14:34:10:16,0,0,0,0,14:34:14:14,4
9,0,Interval,0,0,0,0,14:34:14:46,0,0,0,0,14:34:17:77,None
9,0,Encode,0,0,0,0,14:34:17:81,0,0,0,0,14:34:22:112,None
9,0,Navigate,40.03675,8,0,2.5,14:34:22:112,0,41.69997,9.182339,-1.663219,14:34:26:981,Hit
9,0,Correction,0,0,0,0,14:34:26:981,0,0,0,0,14:34:30:947,5
10,0,Interval,0,0,0,0,14:34:30:979,0,0,0,0,14:34:33:995,None
10,0,Encode,0,0,0,0,14:34:33:998,0,0,0,0,14:34:39:14,None
10,0,Navigate,48.03676,10,0,2.5,14:34:39:14,0,60.30016,15.22958,-12.2634,14:34:44:781,Miss
10,0,Correction,0,0,0,0,14:34:44:781,0,0,0,0,14:34:48:779,5
11,1,Interval,0,0,0,0,14:34:48:812,0,0,0,0,14:34:51:844,None
11,1,Encode,0,0,0,0,14:34:51:847,0,0,0,0,14:34:56:862,None
11,1,Navigate,46.03496,11,80,2.5,14:34:56:862,80,32.19995,16.52145,13.83501,14:34:59:531,Miss
11,1,Correction,0,0,0,0,14:34:59:531,0,0,0,0,14:35:3:528,5
12,1,Interval,0,0,0,0,14:35:3:562,0,0,0,0,14:35:6:593,None
12,1,Encode,0,0,0,0,14:35:6:597,0,0,0,0,14:35:11:613,None
12,1,Navigate,49.03495,3,80,2.5,14:35:11:613,80,48.34028,9.05721,0.6946716,14:35:26:880,Hit
12,1,Correction,0,0,0,0,14:35:26:880,0,0,0,0,14:35:30:880,6
13,2,Interval,0,0,0,0,14:35:30:911,0,0,0,0,14:35:33:943,None
13,2,Encode,0,0,0,0,14:35:33:946,0,0,0,0,14:35:38:962,None
13,2,Navigate,42.03481,4,80,2.5,14:35:38:962,65,55.38051,16.11394,-13.3457,14:35:52:164,Miss
13,2,Correction,0,0,0,0,14:35:52:164,0,0,0,0,14:35:56:161,6
14,2,Interval,0,0,0,0,14:35:56:194,0,0,0,0,14:35:59:225,None
14,2,Encode,0,0,0,0,14:35:59:229,0,0,0,0,14:36:4:245,None
14,2,Navigate,57.0349,3,80,2.5,14:36:4:245,96,85.47977,29.84396,-28.44487,14:36:31:879,Miss
14,2,Correction,0,0,0,0,14:36:31:879,0,0,0,0,14:36:35:876,6
15,1,Interval,0,0,0,0,14:36:35:909,0,0,0,0,14:36:38:941,None
15,1,Encode,0,0,0,0,14:36:38:945,0,0,0,0,14:36:43:961,None
15,1,Navigate,51.03477,10,80,2.5,14:36:43:961,80,48.90011,9.279418,2.134659,14:36:48:595,Hit
15,1,Correction,0,0,0,0,14:36:48:595,0,0,0,0,14:36:52:561,7
16,2,Interval,0,0,0,0,14:36:52:593,0,0,0,0,14:36:55:625,None
16,2,Encode,0,0,0,0,14:36:55:628,0,0,0,0,14:37:0:643,None
16,2,Navigate,71.03484,11,80,2.5,14:37:0:643,40,100.4003,30.72268,-29.36549,14:37:9:511,Miss
16,2,Correction,0,0,0,0,14:37:9:511,0,0,0,0,14:37:13:509,7
17,0,Interval,0,0,0,0,14:37:13:542,0,0,0,0,14:37:16:545,None
17,0,Encode,0,0,0,0,14:37:16:548,0,0,0,0,14:37:21:561,None
17,0,Navigate,31.0364,6,0,2.5,14:37:21:561,0,38.98004,12.0271,-7.943636,14:37:27:628,Hit
17,0,Correction,0,0,0,0,14:37:27:628,0,0,0,0,14:37:31:594,8
18,1,Interval,0,0,0,0,14:37:31:625,0,0,0,0,14:37:34:657,None
18,1,Encode,0,0,0,0,14:37:34:661,0,0,0,0,14:37:39:693,None
18,1,Navigate,64.03679,5,80,2.5,14:37:39:693,80,61.69963,9.328002,2.337158,14:37:51:495,Hit
18,1,Correction,0,0,0,0,14:37:51:495,0,0,0,0,14:37:55:494,9
19,0,Interval,0,0,0,0,14:37:55:524,0,0,0,0,14:37:58:524,None
