Subject ID: sub17_3 , Experiment Time: 2020-12-24T17:14:48
Trial,Condition,Stage,TargetPos,CarSpeed,LandmarkPos1,StartPos,StartTime,LandmarkPos2,StopPos,AbsoluteErrorDis,RelativeErrorDis,EndTime,Insinght
1,1,Interval,0,0,0,0,17:15:2:303,0,0,0,0,17:15:4:770,None
1,1,Encode,0,0,0,0,17:15:4:772,0,0,0,0,17:15:9:786,None
1,1,Navigate,45.03708,3,80,2.5,17:15:9:787,80,46.78025,9.197164,-1.743168,17:15:24:536,Hit
1,1,Correction,0,0,0,0,17:15:24:536,0,0,0,0,17:15:28:534,1
2,1,Interval,0,0,0,0,17:15:28:564,0,0,0,0,17:15:31:596,None
2,1,Encode,0,0,0,0,17:15:31:599,0,0,0,0,17:15:36:599,None
2,1,Navigate,66.03279,8,80,2.5,17:15:36:599,80,55.93995,13.5432,10.09284,17:15:43:266,Miss
2,1,Correction,0,0,0,0,17:15:43:267,0,0,0,0,17:15:47:266,1
3,2,Interval,0,0,0,0,17:15:47:297,0,0,0,0,17:15:50:329,None
3,2,Encode,0,0,0,0,17:15:50:332,0,0,0,0,17:15:55:349,None
3,2,Navigate,51.03484,8,80,2.5,17:15:55:349,81,61.85995,14.09729,-10.8251,17:16:2:750,Miss
3,2,Correction,0,0,0,0,17:16:2:750,0,0,0,0,17:16:6:748,1
4,2,Interval,0,0,0,0,17:16:6:780,0,0,0,0,17:16:9:812,None
4,2,Encode,0,0,0,0,17:16:9:815,0,0,0,0,17:16:14:831,None
4,2,Navigate,30.03494,3,80,2.5,17:16:14:831,93,53.3804,25.0312,-23.34546,17:16:31:766,Miss
4,2,Correction,0,0,0,0,17:16:31:766,0,0,0,0,17:16:35:763,1
5,1,Interval,0,0,0,0,17:16:35:796,0,0,0,0,17:16:38:828,None
5,1,Encode,0,0,0,0,17:16:38:832,0,0,0,0,17:16:43:847,None
5,1,Navigate,40.03483,8,80,2.5,17:16:43:847,80,54.01995,16.64736,-13.98512,17:16:50:282,Miss
5,1,Correction,0,0,0,0,17:16:50:282,0,0,0,0,17:16:54:279,1
6,0,Interval,0,0,0,0,17:16:54:312,0,0,0,0,17:16:57:344,None
6,0,Encode,0,0,0,0,17:16:57:348,0,0,0,0,17:17:2:347,None
6,0,Navigate,54.03278,4,0,2.5,17:17:2:347,0,72.6609,20.70168,-18.62812,17:17:19:881,Miss
6,0,Correction,0,0,0,0,17:17:19:881,0,0,0,0,17:17:23:879,1
7,1,Interval,0,0,0,0,17:17:23:911,0,0,0,0,17:17:26:944,None
7,1,Encode,0,0,0,0,17:17:26:947,0,0,0,0,17:17:31:962,None
7,1,Navigate,42.03486,8,80,2.5,17:17:31:963,80,42.97997,9.079886,-0.9451065,17:17:36:998,Hit
7,1,Correction,0,0,0,0,17:17:36:999,0,0,0,0,17:17:40:964,2
8,1,Interval,0,0,0,0,17:17:40:995,0,0,0,0,17:17:44:11,None
8,1,Encode,0,0,0,0,17:17:44:15,0,0,0,0,17:17:49:30,None
8,1,Navigate,79.03492,10,80,2.5,17:17:49:30,80,71.70005,11.63407,7.334869,17:17:55:931,Hit
8,1,Correction,0,0,0,0,17:17:55:931,0,0,0,0,17:17:59:930,3
9,1,Interval,0,0,0,0,17:17:59:961,0,0,0,0,17:18:2:977,None
9,1,Encode,0,0,0,0,17:18:2:981,0,0,0,0,17:18:7:997,None
9,1,Navigate,39.03672,3,80,2.5,17:18:7:997,80,41.02011,9.245678,-1.983398,17:18:20:814,Hit
9,1,Correction,0,0,0,0,17:18:20:814,0,0,0,0,17:18:24:813,4
