Subject ID: sub01_2 , Experiment Time: 2020-11-24T15:30:56
Trial,Condition,Stage,TargetPos,CarSpeed,LandmarkPos1,StartPos,StartTime,LandmarkPos2,StopPos,AbsoluteErrorDis,RelativeErrorDis,EndTime,Insinght
1,0,Interval,0,0,0,0,15:31:41:348,0,0,0,0,15:31:44:0,None
1,0,Encode,0,0,0,0,15:31:44:2,0,0,0,0,15:31:49:14,None
1,0,Navigate,43.04009,4,0,2.5,15:31:49:16,0,25.53998,19.69262,17.50011,15:31:54:769,Miss
1,0,Correction,0,0,0,0,15:31:54:769,0,0,0,0,15:31:58:763,0
2,2,Interval,0,0,0,0,15:31:58:796,0,0,0,0,15:32:1:796,None
2,2,Encode,0,0,0,0,15:32:1:799,0,0,0,0,15:32:6:814,None
2,2,Navigate,68.03671,4,80,2.5,15:32:6:814,87,40.34016,29.13156,27.69655,15:32:16:249,Miss
2,2,Correction,0,0,0,0,15:32:16:249,0,0,0,0,15:32:20:245,0
3,1,Interval,0,0,0,0,15:32:20:279,0,0,0,0,15:32:23:278,None
3,1,Encode,0,0,0,0,15:32:23:281,0,0,0,0,15:32:28:297,None
3,1,Navigate,71.03674,10,80,2.5,15:32:28:297,80,44.10009,28.41006,26.93664,15:32:32:431,Miss
3,1,Correction,0,0,0,0,15:32:32:431,0,0,0,0,15:32:36:428,0
4,1,Interval,0,0,0,0,15:32:36:461,0,0,0,0,15:32:39:461,None
4,1,Encode,0,0,0,0,15:32:39:464,0,0,0,0,15:32:44:480,None
4,1,Navigate,54.03682,5,80,2.5,15:32:44:480,80,39.89996,16.77499,14.13686,15:32:51:948,Miss
4,1,Correction,0,0,0,0,15:32:51:948,0,0,0,0,15:32:55:945,0
5,2,Interval,0,0,0,0,15:32:55:978,0,0,0,0,15:32:58:978,None
5,2,Encode,0,0,0,0,15:32:58:981,0,0,0,0,15:33:3:996,None
5,2,Navigate,42.03696,10,80,2.5,15:33:3:996,61,32.30005,13.27993,9.736912,15:33:6:964,Hit
5,2,Correction,0,0,0,0,15:33:6:964,0,0,0,0,15:33:10:963,1
