Subject ID: sub11_3 , Experiment Time: 2020-12-22T13:27:42
Trial,Condition,Stage,TargetPos,CarSpeed,LandmarkPos1,StartPos,StartTime,LandmarkPos2,StopPos,AbsoluteErrorDis,RelativeErrorDis,EndTime,Insinght
1,2,Interval,0,0,0,0,13:27:55:867,0,0,0,0,13:27:58:525,None
1,2,Encode,0,0,0,0,13:27:58:527,0,0,0,0,13:28:3:562,None
1,2,Navigate,33.04008,10,80,2.5,13:28:3:562,116,23.70002,12.99161,9.340067,13:28:5:645,Hit
1,2,Correction,0,0,0,0,13:28:5:646,0,0,0,0,13:28:9:643,1
2,2,Interval,0,0,0,0,13:28:9:673,0,0,0,0,13:28:12:677,None
2,2,Encode,0,0,0,0,13:28:12:678,0,0,0,0,13:28:17:724,None
2,2,Navigate,73.03801,6,80,2.5,13:28:17:724,117,59.01986,16.67503,14.01815,13:28:27:93,Miss
2,2,Correction,0,0,0,0,13:28:27:93,0,0,0,0,13:28:31:90,1
3,0,Interval,0,0,0,0,13:28:31:123,0,0,0,0,13:28:34:155,None
3,0,Encode,0,0,0,0,13:28:34:158,0,0,0,0,13:28:39:190,None
3,0,Navigate,54.03674,3,0,2.5,13:28:39:190,0,39.58008,17.04536,14.45665,13:28:51:525,Miss
3,0,Correction,0,0,0,0,13:28:51:525,0,0,0,0,13:28:55:522,1
4,0,Interval,0,0,0,0,13:28:55:555,0,0,0,0,13:28:58:587,None
4,0,Encode,0,0,0,0,13:28:58:591,0,0,0,0,13:29:3:623,None
4,0,Navigate,37.03681,4,0,2.5,13:29:3:623,0,49.06036,15.03712,-12.02355,13:29:15:224,Miss
4,0,Correction,0,0,0,0,13:29:15:224,0,0,0,0,13:29:19:223,1
5,1,Interval,0,0,0,0,13:29:19:255,0,0,0,0,13:29:22:287,None
5,1,Encode,0,0,0,0,13:29:22:291,0,0,0,0,13:29:27:307,None
5,1,Navigate,42.03487,10,80,2.5,13:29:27:307,80,28.70004,16.10493,13.33483,13:29:29:908,Miss
5,1,Correction,0,0,0,0,13:29:29:908,0,0,0,0,13:29:33:906,1
6,2,Interval,0,0,0,0,13:29:33:938,0,0,0,0,13:29:36:970,None
6,2,Encode,0,0,0,0,13:29:36:973,0,0,0,0,13:29:41:990,None
6,2,Navigate,44.03488,8,80,2.5,13:29:41:990,61,45.37996,9.130204,-1.345085,13:29:47:325,Hit
6,2,Correction,0,0,0,0,13:29:47:325,0,0,0,0,13:29:51:324,2
